DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-04-03,215.7,220.75,214.1,217.7,252.4,103.75,NMDC
2024-04-02,212.0,216.6,210.0,215.7,252.4,103.75,NMDC
2024-04-01,204.8,213.2,203.3,212.6,252.4,103.75,NMDC
2024-03-28,200.85,203.65,200.05,201.75,252.4,103.75,NMDC
2024-03-27,204.2,205.15,198.5,199.0,252.4,103.75,NMDC
2024-03-26,202.5,206.2,201.95,203.45,252.4,103.75,NMDC
2024-03-22,206.0,206.7,202.0,203.7,252.4,103.75,NMDC
2024-03-21,205.7,209.1,204.8,207.8,252.4,103.75,NMDC
2024-03-20,202.4,206.45,201.5,205.8,252.4,103.75,NMDC
2024-03-19,202.7,208.65,199.7,200.3,252.4,103.75,NMDC
2024-03-18,198.4,204.45,195.05,202.7,252.4,103.75,NMDC
2024-03-15,202.9,204.5,190.35,198.35,252.4,103.75,NMDC
2024-03-14,203.5,208.5,197.15,201.95,252.4,103.75,NMDC
2024-03-13,223.0,224.15,203.4,205.45,252.4,103.75,NMDC
2024-03-12,229.0,230.95,221.05,223.5,252.4,103.75,NMDC
2024-03-11,235.0,237.5,228.3,228.85,252.4,103.75,NMDC
2024-03-07,238.5,243.8,237.25,238.8,252.4,103.75,NMDC
2024-03-06,242.95,245.2,235.6,240.95,252.4,103.75,NMDC
2024-03-05,239.9,243.5,239.05,242.65,252.4,103.75,NMDC
2024-03-04,236.5,241.9,233.85,240.05,252.4,103.75,NMDC
2024-03-02,232.0,234.95,231.8,234.7,252.4,103.75,NMDC
2024-03-01,227.4,234.55,227.1,231.05,252.4,103.75,NMDC
2024-02-29,224.0,229.6,221.25,225.9,252.4,103.75,NMDC
2024-02-28,227.0,229.4,222.0,223.05,252.4,103.75,NMDC
2024-02-27,229.5,231.3,222.4,225.05,252.4,103.75,NMDC
2024-02-26,238.15,239.2,233.3,234.95,252.4,103.75,NMDC
2024-02-23,240.85,240.85,236.0,238.3,252.4,103.75,NMDC
2024-02-22,235.0,239.6,231.3,239.0,252.4,103.75,NMDC
2024-02-21,244.75,244.75,231.3,232.6,252.4,103.75,NMDC
2024-02-20,248.25,248.6,239.2,240.95,252.4,103.75,NMDC
2024-02-19,245.8,250.4,244.6,246.3,252.4,103.75,NMDC
2024-02-16,248.0,248.0,241.15,244.35,252.4,103.75,NMDC
2024-02-15,248.8,252.4,243.0,246.95,252.4,103.75,NMDC
2024-02-14,225.4,237.3,223.3,235.55,247.05,103.75,NMDC
2024-02-13,234.5,234.5,224.15,226.8,247.05,103.75,NMDC
2024-02-12,240.75,244.7,228.2,230.05,247.05,103.75,NMDC
2024-02-09,244.35,245.1,233.75,241.5,247.05,103.75,NMDC
2024-02-08,244.75,246.4,240.55,244.4,247.05,103.75,NMDC
2024-02-07,246.4,247.05,240.0,243.45,247.05,103.75,NMDC
2024-02-06,242.25,244.5,235.0,243.55,247.0,103.75,NMDC
2024-02-05,240.0,247.0,237.2,241.45,247.0,103.75,NMDC
2024-02-02,229.3,237.5,227.7,235.55,237.5,103.75,NMDC
2024-02-01,222.0,226.7,218.7,225.4,227.3,103.75,NMDC
2024-01-31,220.5,221.95,218.4,219.85,227.3,103.75,NMDC
2024-01-30,221.85,223.45,219.05,219.7,227.3,103.75,NMDC
2024-01-29,219.55,222.0,217.4,220.95,227.3,103.75,NMDC
2024-01-25,213.7,217.7,212.2,217.15,227.3,103.75,NMDC
2024-01-24,204.9,212.5,203.45,211.8,227.3,103.75,NMDC
2024-01-23,214.75,215.9,201.5,202.45,227.3,103.75,NMDC
2024-01-20,212.65,217.75,210.45,212.85,227.3,103.75,NMDC
2024-01-19,206.55,211.35,204.65,210.85,227.3,103.75,NMDC
2024-01-18,206.4,208.75,196.6,203.6,227.3,103.75,NMDC
2024-01-17,209.85,211.3,205.05,206.4,227.3,103.75,NMDC
2024-01-16,209.8,214.0,205.4,212.75,227.3,103.75,NMDC
2024-01-15,214.5,214.9,208.4,209.4,227.3,103.75,NMDC
2024-01-12,210.9,213.2,208.55,211.35,227.3,103.75,NMDC
2024-01-11,212.45,213.4,209.2,209.6,227.3,103.75,NMDC
2024-01-10,216.5,216.5,209.6,210.85,227.3,103.75,NMDC
2024-01-09,219.0,220.65,216.5,217.5,227.3,103.75,NMDC
2024-01-08,223.65,223.85,214.5,215.2,227.3,103.75,NMDC
2024-01-05,223.0,227.3,220.1,222.7,227.3,103.75,NMDC
2024-01-04,219.05,224.5,219.05,223.55,224.5,103.75,NMDC
2024-01-03,217.65,219.55,213.0,217.4,220.0,103.75,NMDC
2024-01-02,213.05,220.0,210.55,217.75,220.0,103.75,NMDC
2024-01-01,210.9,214.9,209.25,211.45,214.9,103.75,NMDC
2023-12-29,208.65,212.65,203.7,209.65,212.65,103.75,NMDC
2023-12-28,202.65,207.45,201.2,207.15,207.45,103.75,NMDC
2023-12-27,203.6,203.95,198.35,201.45,204.95,103.75,NMDC
2023-12-26,195.75,204.95,194.85,201.85,204.95,103.75,NMDC
2023-12-22,196.45,197.35,191.75,195.4,198.65,103.75,NMDC
2023-12-21,181.0,194.65,179.9,193.65,198.65,103.75,NMDC
2023-12-20,194.75,198.65,181.85,183.4,198.65,103.75,NMDC
2023-12-19,195.55,197.0,192.0,193.6,197.8,103.75,NMDC
2023-12-18,194.95,197.25,191.3,195.55,197.8,103.75,NMDC
2023-12-15,194.8,197.8,193.95,194.95,197.8,103.75,NMDC
2023-12-14,194.5,195.55,191.15,191.85,195.55,103.75,NMDC
2023-12-13,184.7,191.9,184.35,191.65,191.9,103.75,NMDC
2023-12-12,185.5,186.9,182.3,183.05,189.0,103.75,NMDC
2023-12-11,184.0,185.35,181.5,184.8,189.0,103.75,NMDC
2023-12-08,185.0,189.0,180.9,183.6,189.0,103.75,NMDC
2023-12-07,184.3,185.4,182.95,184.1,186.95,103.75,NMDC
2023-12-06,183.0,186.95,181.55,184.3,186.95,103.75,NMDC
2023-12-05,185.0,186.2,180.7,183.0,186.2,103.75,NMDC
2023-12-04,185.3,186.0,183.3,184.05,186.0,103.75,NMDC
2023-12-01,182.95,184.7,181.1,182.05,184.7,103.75,NMDC
2023-11-30,180.3,182.5,176.7,181.5,183.5,103.75,NMDC
2023-11-29,182.95,183.5,178.5,180.5,183.5,103.75,NMDC
2023-11-28,174.5,182.4,173.75,181.65,182.4,103.75,NMDC
2023-11-24,174.4,177.35,172.45,173.2,177.8,103.75,NMDC
2023-11-23,173.0,174.0,170.9,172.4,177.8,103.75,NMDC
2023-11-22,170.0,171.7,168.3,171.5,177.8,103.75,NMDC
2023-11-21,171.85,172.25,167.15,169.7,177.8,103.75,NMDC
2023-11-20,170.8,173.0,169.1,170.7,177.8,103.75,NMDC
2023-11-17,168.9,170.6,168.0,168.9,177.8,103.75,NMDC
2023-11-16,170.95,171.95,168.1,168.9,177.8,103.75,NMDC
2023-11-15,174.75,175.0,166.75,169.8,177.8,103.75,NMDC
2023-11-13,172.95,177.8,170.1,175.25,177.8,103.75,NMDC
2023-11-12,172.75,173.0,170.4,172.35,173.0,103.75,NMDC
2023-11-10,162.45,169.6,161.45,168.7,169.6,103.75,NMDC
2023-11-09,162.6,164.9,161.7,163.05,167.55,103.75,NMDC
2023-11-08,164.3,165.0,161.85,162.4,167.55,103.75,NMDC
2023-11-07,160.5,164.55,160.4,163.05,167.55,103.75,NMDC
2023-11-06,160.65,162.25,159.45,160.35,167.55,103.75,NMDC
2023-11-03,161.25,161.25,158.3,159.45,167.55,98.6,NMDC
2023-11-02,154.55,160.5,154.1,159.9,167.55,98.6,NMDC
2023-11-01,154.3,155.3,152.75,153.65,167.55,98.6,NMDC
2023-10-31,157.0,157.65,153.6,154.2,167.55,98.6,NMDC
2023-10-30,154.4,156.3,152.5,155.9,167.55,98.6,NMDC
2023-10-27,153.0,155.85,152.4,154.4,167.55,92.25,NMDC
2023-10-26,151.0,152.8,149.2,152.05,167.55,92.25,NMDC
2023-10-25,152.85,154.75,150.6,152.95,167.55,92.25,NMDC
2023-10-23,158.0,158.8,150.4,151.15,167.55,92.25,NMDC
2023-10-20,162.4,162.5,156.1,158.05,167.55,92.25,NMDC
2023-10-19,160.25,164.05,158.85,163.4,167.55,92.25,NMDC
2023-10-18,165.2,166.5,160.25,161.65,167.55,92.25,NMDC
2023-10-17,166.15,167.55,164.0,165.2,167.55,92.25,NMDC
2023-10-16,161.4,165.75,160.2,165.25,165.75,92.25,NMDC
2023-10-13,158.0,164.1,156.8,159.9,164.1,92.25,NMDC
2023-10-12,151.5,159.9,150.95,159.0,159.9,92.25,NMDC
2023-10-11,152.3,153.8,149.7,150.3,154.25,92.25,NMDC
2023-10-10,143.25,151.15,143.25,150.25,154.25,92.25,NMDC
2023-10-09,144.0,144.0,140.65,143.15,154.25,92.25,NMDC
2023-10-06,147.1,147.7,145.6,145.8,154.25,92.25,NMDC
2023-10-05,146.9,148.55,145.75,146.2,154.25,92.25,NMDC
