DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-05-07,629.0,642.0,608.8,634.85,698.75,365.0,JSFB
2024-05-06,666.0,674.0,620.0,623.15,698.75,365.0,JSFB
2024-05-03,672.0,697.8,656.0,665.05,698.75,365.0,JSFB
2024-05-02,608.0,698.75,601.45,665.5,698.75,365.0,JSFB
2024-04-30,567.0,600.35,549.1,600.35,600.35,365.0,JSFB
2024-04-29,517.4,529.8,492.0,500.3,529.8,365.0,JSFB
2024-04-26,495.6,512.4,490.25,507.85,512.4,365.0,JSFB
2024-04-25,482.6,497.0,477.0,488.3,497.0,365.0,JSFB
2024-04-24,482.0,491.65,476.05,478.65,496.45,365.0,JSFB
2024-04-23,472.5,496.45,472.5,486.35,496.45,365.0,JSFB
2024-04-22,459.8,475.65,455.4,473.15,490.85,365.0,JSFB
2024-04-19,448.05,458.6,441.0,452.45,490.85,365.0,JSFB
2024-04-18,443.25,457.0,443.25,450.4,490.85,365.0,JSFB
2024-04-16,438.95,451.85,430.55,445.65,490.85,365.0,JSFB
2024-04-15,437.0,443.95,422.65,435.1,490.85,365.0,JSFB
2024-04-12,459.0,459.0,440.15,442.55,490.85,365.0,JSFB
2024-04-10,466.0,467.5,454.15,459.0,490.85,365.0,JSFB
2024-04-09,479.0,479.0,462.0,467.2,490.85,365.0,JSFB
2024-04-08,469.1,490.85,457.1,475.0,490.85,365.0,JSFB
2024-04-05,465.95,473.7,451.1,470.65,482.0,365.0,JSFB
2024-04-04,433.0,470.0,432.95,467.4,482.0,365.0,JSFB
2024-04-03,423.7,433.9,417.6,432.25,482.0,365.0,JSFB
2024-04-02,419.7,427.7,413.05,424.4,482.0,365.0,JSFB
2024-04-01,419.9,420.7,414.1,419.7,482.0,365.0,JSFB
2024-03-28,409.8,419.0,406.0,409.6,482.0,365.0,JSFB
2024-03-27,396.65,407.3,396.65,405.15,482.0,365.0,JSFB
2024-03-26,388.95,406.2,386.0,396.6,482.0,365.0,JSFB
2024-03-22,380.0,394.0,380.0,390.5,482.0,365.0,JSFB
2024-03-21,391.0,392.2,384.75,387.15,482.0,365.0,JSFB
2024-03-20,389.9,389.9,375.0,382.1,482.0,365.0,JSFB
2024-03-19,386.0,390.7,378.5,381.8,482.0,365.0,JSFB
2024-03-18,392.5,394.25,386.1,389.25,482.0,365.0,JSFB
2024-03-15,395.6,399.65,388.05,392.3,482.0,365.0,JSFB
2024-03-14,388.95,395.9,382.0,392.7,482.0,365.0,JSFB
2024-03-13,407.0,413.35,368.2,383.1,482.0,365.0,JSFB
2024-03-12,431.2,437.95,405.75,409.25,482.0,365.0,JSFB
2024-03-11,437.0,439.45,426.15,434.85,482.0,365.0,JSFB
2024-03-07,431.75,442.95,431.75,439.7,482.0,365.0,JSFB
2024-03-06,444.9,444.9,432.0,435.85,482.0,365.0,JSFB
2024-03-05,444.5,449.4,437.95,445.25,482.0,365.0,JSFB
2024-03-04,451.3,457.0,430.0,445.8,482.0,365.0,JSFB
2024-03-02,455.4,459.8,450.0,453.25,482.0,365.0,JSFB
2024-03-01,450.2,465.0,446.0,455.4,482.0,365.0,JSFB
2024-02-29,450.25,453.85,437.15,448.2,482.0,365.0,JSFB
2024-02-28,451.15,460.0,417.95,453.35,482.0,365.0,JSFB
2024-02-27,457.0,466.0,452.1,454.35,482.0,365.0,JSFB
2024-02-26,458.45,458.5,448.0,453.95,482.0,365.0,JSFB
2024-02-23,466.85,475.9,454.3,458.65,482.0,365.0,JSFB
2024-02-22,469.9,473.0,451.55,456.5,482.0,365.0,JSFB
2024-02-21,449.0,482.0,442.5,462.65,482.0,365.0,JSFB
2024-02-20,437.95,449.5,428.1,446.2,455.0,365.0,JSFB
2024-02-19,437.1,455.0,430.0,436.55,455.0,365.0,JSFB
2024-02-16,429.0,448.25,415.45,419.6,448.25,365.0,JSFB
2024-02-15,375.0,438.0,371.0,428.4,438.0,365.0,JSFB
2024-02-14,396.0,409.0,365.0,368.15,409.0,365.0,JSFB
