DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-07-12,1065.0,1074.0,1061.4,1065.7,1349.0,933.0,TATACHEM
2024-07-11,1072.0,1073.65,1053.65,1059.0,1349.0,933.0,TATACHEM
2024-07-10,1082.75,1089.85,1043.25,1063.65,1349.0,933.0,TATACHEM
2024-07-09,1085.0,1096.4,1079.0,1082.75,1349.0,933.0,TATACHEM
2024-07-08,1101.75,1111.15,1078.65,1079.95,1349.0,933.0,TATACHEM
2024-07-05,1103.65,1110.0,1089.0,1101.75,1349.0,933.0,TATACHEM
2024-07-04,1107.0,1120.0,1100.5,1103.65,1349.0,933.0,TATACHEM
2024-07-03,1098.5,1112.85,1095.0,1103.45,1349.0,933.0,TATACHEM
2024-07-02,1108.95,1116.05,1090.35,1095.3,1349.0,933.0,TATACHEM
2024-07-01,1107.95,1117.3,1103.6,1107.35,1349.0,933.0,TATACHEM
2024-06-28,1095.0,1106.9,1087.55,1103.1,1349.0,933.0,TATACHEM
2024-06-27,1092.35,1099.2,1074.0,1091.65,1349.0,933.0,TATACHEM
2024-06-26,1100.05,1111.0,1089.5,1092.45,1349.0,933.0,TATACHEM
2024-06-25,1106.9,1122.0,1095.0,1097.05,1349.0,933.0,TATACHEM
2024-06-24,1125.0,1125.3,1092.4,1103.45,1349.0,933.0,TATACHEM
2024-06-21,1162.0,1162.0,1120.45,1126.3,1349.0,933.0,TATACHEM
2024-06-20,1113.0,1161.3,1105.3,1154.0,1349.0,933.0,TATACHEM
2024-06-19,1127.0,1139.0,1104.2,1106.85,1349.0,933.0,TATACHEM
2024-06-18,1106.0,1124.4,1101.25,1121.1,1349.0,933.0,TATACHEM
2024-06-14,1116.3,1123.0,1100.7,1105.85,1349.0,933.0,TATACHEM
2024-06-13,1123.6,1130.0,1106.05,1116.3,1349.0,933.0,TATACHEM
2024-06-12,1110.9,1135.0,1097.0,1123.6,1349.0,933.0,TATACHEM
2024-06-11,1081.1,1120.95,1073.4,1111.4,1349.0,933.0,TATACHEM
2024-06-10,1064.95,1097.7,1060.0,1086.0,1349.0,933.0,TATACHEM
2024-06-07,1028.9,1061.6,1017.95,1056.15,1349.0,933.0,TATACHEM
2024-06-06,1046.95,1067.0,1045.0,1063.35,1349.0,933.0,TATACHEM
2024-06-05,1016.0,1047.0,991.5,1043.1,1349.0,933.0,TATACHEM
2024-06-04,1068.0,1068.0,960.05,996.95,1349.0,933.0,TATACHEM
2024-06-03,1068.0,1068.0,1033.65,1060.85,1349.0,933.0,TATACHEM
2024-05-31,1048.45,1055.95,1027.0,1030.15,1349.0,933.0,TATACHEM
2024-05-30,1072.65,1078.95,1037.0,1043.55,1349.0,933.0,TATACHEM
2024-05-29,1096.4,1101.45,1070.25,1072.3,1349.0,933.0,TATACHEM
2024-05-28,1108.9,1129.0,1090.45,1096.4,1349.0,933.0,TATACHEM
2024-05-27,1092.6,1117.0,1086.4,1105.15,1349.0,933.0,TATACHEM
2024-05-24,1089.85,1118.4,1080.05,1084.25,1349.0,933.0,TATACHEM
2024-05-23,1081.05,1094.85,1077.0,1088.85,1349.0,933.0,TATACHEM
2024-05-22,1084.15,1094.85,1076.45,1086.45,1349.0,933.0,TATACHEM
2024-05-21,1079.0,1094.35,1075.3,1087.45,1349.0,933.0,TATACHEM
2024-05-18,1086.85,1092.0,1078.0,1079.55,1349.0,933.0,TATACHEM
2024-05-17,1083.0,1105.25,1078.8,1084.45,1349.0,933.0,TATACHEM
2024-05-16,1080.0,1085.65,1071.4,1083.0,1349.0,933.0,TATACHEM
2024-05-15,1065.85,1101.5,1065.85,1072.45,1349.0,933.0,TATACHEM
2024-05-14,1062.25,1068.35,1048.0,1065.75,1349.0,933.0,TATACHEM
2024-05-13,1057.0,1065.0,1032.2,1063.0,1349.0,933.0,TATACHEM
2024-05-10,1045.0,1062.9,1043.0,1058.65,1349.0,933.0,TATACHEM
2024-05-09,1080.0,1084.0,1042.0,1044.3,1349.0,933.0,TATACHEM
2024-05-08,1063.55,1084.1,1055.3,1080.0,1349.0,933.0,TATACHEM
2024-05-07,1082.45,1087.9,1060.5,1063.55,1349.0,933.0,TATACHEM
2024-05-06,1096.0,1103.5,1068.45,1082.45,1349.0,933.0,TATACHEM
2024-05-03,1103.9,1109.4,1082.4,1090.8,1349.0,933.0,TATACHEM
2024-05-02,1072.0,1110.95,1065.1,1100.65,1349.0,933.0,TATACHEM
2024-04-30,1066.0,1084.9,1050.0,1072.15,1349.0,933.0,TATACHEM
2024-04-29,1135.0,1136.0,1095.9,1099.5,1349.0,933.0,TATACHEM
2024-04-26,1122.3,1132.5,1116.15,1122.0,1349.0,933.0,TATACHEM
2024-04-25,1133.95,1141.2,1108.55,1112.8,1349.0,933.0,TATACHEM
2024-04-24,1124.0,1144.9,1116.05,1126.85,1349.0,933.0,TATACHEM
2024-04-23,1119.85,1130.0,1110.0,1114.9,1349.0,933.0,TATACHEM
2024-04-22,1119.0,1123.0,1097.8,1115.4,1349.0,933.0,TATACHEM
2024-04-19,1090.0,1123.5,1080.5,1103.75,1349.0,933.0,TATACHEM
2024-04-18,1121.9,1155.95,1096.9,1105.05,1349.0,933.0,TATACHEM
2024-04-16,1090.9,1129.6,1089.1,1106.2,1349.0,933.0,TATACHEM
2024-04-15,1121.0,1129.9,1075.5,1102.15,1349.0,933.0,TATACHEM
2024-04-12,1170.0,1181.4,1146.0,1148.45,1349.0,933.0,TATACHEM
2024-04-10,1140.15,1188.8,1140.15,1168.55,1349.0,933.0,TATACHEM
2024-04-09,1142.0,1163.0,1130.25,1137.95,1349.0,933.0,TATACHEM
2024-04-08,1140.0,1147.85,1121.1,1137.55,1349.0,933.0,TATACHEM
2024-04-05,1094.95,1160.0,1088.1,1132.55,1349.0,933.0,TATACHEM
2024-04-04,1102.0,1106.85,1087.0,1093.65,1349.0,933.0,TATACHEM
2024-04-03,1087.1,1112.7,1087.1,1091.8,1349.0,933.0,TATACHEM
2024-04-02,1095.9,1105.0,1087.0,1093.85,1349.0,933.0,TATACHEM
2024-04-01,1096.4,1125.7,1083.5,1087.2,1349.0,933.0,TATACHEM
2024-03-28,1112.0,1124.35,1075.2,1080.9,1349.0,933.0,TATACHEM
2024-03-27,1092.1,1142.8,1070.2,1110.3,1349.0,933.0,TATACHEM
2024-03-26,1051.0,1096.0,1046.1,1087.05,1349.0,933.0,TATACHEM
2024-03-22,1024.05,1064.85,1020.0,1046.4,1349.0,933.0,TATACHEM
2024-03-21,1048.85,1055.0,1030.5,1034.9,1349.0,933.0,TATACHEM
2024-03-20,1126.0,1132.0,1020.55,1031.3,1349.0,933.0,TATACHEM
2024-03-19,1134.7,1136.8,1113.55,1120.9,1349.0,933.0,TATACHEM
2024-03-18,1126.0,1143.4,1103.05,1136.55,1349.0,933.0,TATACHEM
2024-03-15,1136.7,1148.0,1112.5,1128.75,1349.0,933.0,TATACHEM
2024-03-14,1091.95,1149.85,1077.5,1135.25,1349.0,933.0,TATACHEM
2024-03-13,1146.0,1169.0,1081.45,1097.45,1349.0,933.0,TATACHEM
2024-03-12,1165.0,1169.45,1105.1,1143.65,1349.0,933.0,TATACHEM
2024-03-11,1220.0,1222.0,1170.0,1175.4,1349.0,933.0,TATACHEM
2024-03-07,1187.05,1349.0,1175.7,1315.25,1349.0,933.0,TATACHEM
2024-03-06,1063.0,1202.85,1047.55,1178.45,1202.85,933.0,TATACHEM
2024-03-05,1020.05,1085.0,1011.0,1061.3,1141.0,933.0,TATACHEM
2024-03-04,981.95,1009.2,969.3,1003.0,1141.0,933.0,TATACHEM
2024-03-02,971.0,985.55,969.35,973.05,1141.0,933.0,TATACHEM
2024-03-01,946.0,971.3,945.0,968.0,1141.0,933.0,TATACHEM
2024-02-29,945.1,947.1,933.0,939.2,1141.0,933.0,TATACHEM
2024-02-28,961.0,965.5,940.5,944.1,1141.0,935.25,TATACHEM
2024-02-27,972.0,975.0,958.75,961.8,1141.0,935.25,TATACHEM
2024-02-26,981.75,984.45,966.0,967.7,1141.0,935.25,TATACHEM
2024-02-23,985.1,987.75,975.0,976.5,1141.0,935.25,TATACHEM
2024-02-22,978.5,983.65,969.05,980.55,1141.0,935.25,TATACHEM
2024-02-21,987.05,997.0,974.05,977.5,1141.0,935.25,TATACHEM
2024-02-20,983.9,991.95,974.1,983.35,1141.0,935.25,TATACHEM
2024-02-19,978.45,984.6,972.0,977.45,1141.0,935.25,TATACHEM
2024-02-16,977.0,980.95,970.2,972.15,1141.0,935.25,TATACHEM
2024-02-15,968.05,978.9,961.9,965.5,1141.0,935.25,TATACHEM
2024-02-14,958.0,970.0,947.75,966.2,1141.0,935.25,TATACHEM
2024-02-13,953.85,961.7,937.15,958.3,1141.0,935.25,TATACHEM
2024-02-12,961.0,973.4,944.05,946.05,1141.0,935.25,TATACHEM
2024-02-09,971.05,980.1,950.1,957.05,1141.0,935.25,TATACHEM
2024-02-08,987.05,990.0,968.0,971.05,1141.0,935.25,TATACHEM
2024-02-07,994.9,995.95,982.25,987.05,1141.0,935.25,TATACHEM
2024-02-06,935.25,1002.4,935.25,991.95,1141.0,935.25,TATACHEM
2024-02-05,999.0,1002.95,976.0,979.25,1141.0,945.2,TATACHEM
2024-02-02,1023.0,1023.95,994.5,997.3,1141.0,945.2,TATACHEM
2024-02-01,1035.0,1035.95,1012.0,1014.9,1141.0,945.2,TATACHEM
2024-01-31,1010.1,1032.6,1007.0,1028.05,1141.0,945.2,TATACHEM
2024-01-30,1013.15,1027.9,1003.0,1005.75,1141.0,945.2,TATACHEM
2024-01-29,1010.15,1018.0,1006.4,1013.15,1141.0,945.2,TATACHEM
2024-01-25,1022.0,1026.0,1001.1,1005.65,1141.0,945.2,TATACHEM
2024-01-24,1008.95,1023.0,998.55,1017.85,1141.0,945.2,TATACHEM
2024-01-23,1060.05,1068.0,1000.05,1003.95,1141.0,945.2,TATACHEM
2024-01-20,1077.3,1085.65,1001.7,1051.95,1141.0,945.2,TATACHEM
2024-01-19,1074.95,1096.85,1070.15,1075.25,1141.0,945.2,TATACHEM
2024-01-18,1080.0,1092.5,1048.0,1066.25,1141.0,945.2,TATACHEM
2024-01-17,1097.95,1104.95,1079.95,1083.65,1141.0,945.2,TATACHEM
2024-01-16,1112.2,1117.7,1089.45,1102.45,1141.0,945.2,TATACHEM
2024-01-15,1118.9,1125.0,1107.15,1112.2,1141.0,945.2,TATACHEM
2024-01-12,1110.0,1124.85,1096.7,1112.2,1141.0,945.2,TATACHEM
2024-01-11,1096.0,1114.0,1096.0,1104.85,1141.0,945.2,TATACHEM
2024-01-10,1105.05,1108.55,1088.0,1097.35,1141.0,945.2,TATACHEM
2024-01-09,1102.0,1118.0,1097.2,1104.15,1141.0,945.2,TATACHEM
2024-01-08,1109.0,1110.8,1082.15,1099.05,1141.0,945.2,TATACHEM
2024-01-05,1139.95,1141.0,1094.25,1104.7,1141.0,945.2,TATACHEM
2024-01-04,1117.05,1137.95,1113.0,1131.55,1139.5,945.2,TATACHEM
2024-01-03,1122.3,1129.55,1097.0,1112.65,1139.5,945.2,TATACHEM
2024-01-02,1117.9,1139.5,1101.0,1122.35,1139.5,945.2,TATACHEM
2024-01-01,1113.0,1134.9,1106.25,1117.85,1134.9,945.2,TATACHEM
2023-12-29,1092.0,1123.0,1083.55,1104.1,1123.0,945.2,TATACHEM
2023-12-28,1094.7,1095.0,1079.05,1086.6,1102.85,945.2,TATACHEM
2023-12-27,1100.0,1102.85,1077.15,1089.85,1102.85,945.2,TATACHEM
2023-12-26,1027.0,1102.0,1020.7,1094.25,1102.0,945.2,TATACHEM
2023-12-22,1016.0,1041.0,1012.5,1022.05,1049.9,945.2,TATACHEM
2023-12-21,988.6,1012.0,980.0,1009.65,1049.9,945.2,TATACHEM
2023-12-20,1033.5,1049.9,985.0,988.6,1049.9,945.2,TATACHEM
2023-12-19,1040.0,1041.0,1021.1,1033.25,1044.9,945.2,TATACHEM
2023-12-18,1034.7,1042.85,1027.0,1034.2,1044.9,945.2,TATACHEM
2023-12-15,1024.75,1044.9,1012.25,1030.0,1044.9,945.2,TATACHEM
2023-12-14,1011.0,1019.3,1006.2,1008.4,1035.0,945.2,TATACHEM
2023-12-13,1011.8,1015.0,1001.2,1006.75,1035.0,945.2,TATACHEM
2023-12-12,1024.1,1025.0,1001.4,1005.75,1035.0,945.2,TATACHEM
2023-12-11,1004.95,1026.2,999.5,1018.05,1035.0,945.2,TATACHEM
2023-12-08,1024.65,1027.25,990.0,996.85,1035.0,945.2,TATACHEM
2023-12-07,1019.8,1025.25,1008.1,1018.25,1035.0,945.2,TATACHEM
2023-12-06,995.0,1029.9,995.0,1011.9,1035.0,945.2,TATACHEM
2023-12-05,975.0,985.1,973.5,983.2,1035.0,945.2,TATACHEM
2023-12-04,979.0,979.0,971.0,973.05,1035.0,945.2,TATACHEM
2023-12-01,970.3,980.7,966.05,969.95,1035.0,945.2,TATACHEM
2023-11-30,971.7,972.95,962.0,970.45,1035.0,945.2,TATACHEM
2023-11-29,969.95,974.0,967.05,972.55,1035.0,945.2,TATACHEM
2023-11-28,960.6,971.95,958.6,968.55,1035.0,945.2,TATACHEM
2023-11-24,967.0,968.9,958.0,960.6,1035.0,945.2,TATACHEM
2023-11-23,960.45,971.4,960.0,965.65,1035.0,945.2,TATACHEM
2023-11-22,964.0,967.5,951.05,960.45,1035.0,945.2,TATACHEM
2023-11-21,957.0,971.0,957.0,961.3,1035.0,945.2,TATACHEM
2023-11-20,963.7,967.9,953.0,955.7,1035.0,945.2,TATACHEM
2023-11-17,951.55,969.1,951.55,963.4,1035.0,945.2,TATACHEM
2023-11-16,951.5,957.6,948.3,954.2,1035.0,945.2,TATACHEM
2023-11-15,955.0,955.55,948.1,949.55,1035.0,945.2,TATACHEM
2023-11-13,953.9,963.0,945.2,946.65,1035.0,945.2,TATACHEM
2023-11-12,960.95,967.85,955.55,965.0,1035.0,949.0,TATACHEM
2023-11-10,958.0,967.3,952.6,963.95,1035.0,949.0,TATACHEM
2023-11-09,961.0,963.9,955.4,959.1,1035.0,949.0,TATACHEM
2023-11-08,960.2,968.6,954.15,958.45,1035.0,949.0,TATACHEM
2023-11-07,975.95,975.95,961.0,963.7,1035.0,949.0,TATACHEM
2023-11-06,965.0,978.9,965.0,973.35,1035.0,949.0,TATACHEM
2023-11-03,963.95,964.95,956.85,958.6,1035.0,949.0,TATACHEM
2023-11-02,956.0,960.45,953.25,959.05,1035.0,949.0,TATACHEM
2023-11-01,958.5,960.0,949.0,950.35,1035.0,949.0,TATACHEM
2023-10-31,957.95,964.75,952.0,959.2,1035.0,952.0,TATACHEM
2023-02-17,1024.05,1033.35,1015.55,1018.85,1035.0,1011.1,TATACHEM
2023-02-16,1013.0,1035.0,1011.1,1024.9,1035.0,1011.1,TATACHEM
