DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-04-02,126.8,131.0,125.2,128.2,176.85,35.3,NBCC
2024-04-01,120.9,124.8,120.4,124.8,176.85,35.3,NBCC
2024-03-28,114.5,119.05,114.4,118.9,176.85,30.95,NBCC
2024-03-27,115.9,118.95,112.55,113.4,176.85,30.95,NBCC
2024-03-26,116.2,117.75,113.85,114.8,176.85,30.95,NBCC
2024-03-22,114.2,117.3,112.7,115.05,176.85,30.95,NBCC
2024-03-21,111.95,114.8,111.5,114.8,176.85,30.95,NBCC
2024-03-20,110.1,112.4,106.4,109.35,176.85,30.95,NBCC
2024-03-19,111.9,113.1,108.65,109.35,176.85,30.95,NBCC
2024-03-18,111.5,114.9,109.0,111.5,176.85,30.95,NBCC
2024-03-15,114.95,118.4,110.3,111.85,176.85,30.95,NBCC
2024-03-14,106.0,116.1,105.1,116.1,176.85,30.95,NBCC
2024-03-13,115.75,120.75,110.6,110.6,176.85,30.95,NBCC
2024-03-12,121.0,121.5,115.6,116.4,176.85,30.95,NBCC
2024-03-11,127.45,127.9,120.95,121.05,176.85,30.95,NBCC
2024-03-07,127.7,130.0,127.0,127.3,176.85,30.95,NBCC
2024-03-06,132.95,132.95,126.0,127.3,176.85,30.95,NBCC
2024-03-05,134.35,136.45,132.3,132.6,176.85,30.95,NBCC
2024-03-04,134.95,135.25,132.0,132.35,176.85,30.95,NBCC
2024-03-02,133.95,135.5,133.8,134.5,176.85,30.95,NBCC
2024-03-01,137.8,139.45,132.2,132.95,176.85,30.95,NBCC
2024-02-29,132.0,136.0,128.65,135.25,176.85,30.95,NBCC
2024-02-28,138.35,139.35,131.45,132.2,176.85,30.95,NBCC
2024-02-27,139.9,141.05,138.0,138.35,176.85,30.95,NBCC
2024-02-26,144.3,144.4,138.6,139.7,176.85,30.95,NBCC
2024-02-23,147.3,147.8,142.2,143.4,176.85,30.95,NBCC
2024-02-22,144.95,146.15,142.5,146.0,176.85,30.95,NBCC
2024-02-21,144.3,145.65,138.0,139.2,176.85,30.95,NBCC
2024-02-20,143.0,147.4,142.0,142.6,176.85,30.95,NBCC
2024-02-19,136.5,141.3,134.85,141.3,176.85,30.95,NBCC
2024-02-16,137.5,143.95,133.6,134.6,176.85,30.95,NBCC
2024-02-15,137.1,137.1,137.1,137.1,176.85,30.95,NBCC
2024-02-14,126.9,130.6,126.0,130.6,176.85,30.95,NBCC
2024-02-13,124.35,132.8,120.75,124.4,176.85,30.95,NBCC
2024-02-12,146.75,146.75,133.15,133.15,176.85,30.95,NBCC
2024-02-09,154.65,154.65,139.65,147.95,176.85,30.95,NBCC
2024-02-08,159.0,159.4,153.3,153.9,176.85,30.95,NBCC
2024-02-07,160.35,164.85,153.65,158.05,176.85,30.95,NBCC
2024-02-06,167.7,167.7,151.15,157.45,176.85,30.95,NBCC
2024-02-05,174.45,176.85,161.3,166.1,176.85,30.95,NBCC
2024-02-02,150.0,169.95,150.0,168.65,169.95,30.95,NBCC
2024-02-01,131.0,145.0,129.8,141.65,145.0,30.95,NBCC
2024-01-31,127.6,130.6,124.55,129.45,136.3,30.95,NBCC
2024-01-30,131.35,136.3,123.65,127.05,136.3,30.95,NBCC
2024-01-29,117.0,128.45,116.7,127.0,128.45,30.95,NBCC
2024-01-25,106.2,119.4,104.5,114.7,119.4,30.95,NBCC
2024-01-24,99.45,105.9,96.5,105.25,109.5,30.95,NBCC
2024-01-23,104.0,109.5,97.0,98.6,109.5,30.95,NBCC
2024-01-20,95.3,103.85,95.0,101.75,103.85,30.95,NBCC
2024-01-19,87.95,95.9,87.9,94.55,95.9,30.95,NBCC
2024-01-18,87.95,89.6,84.6,87.2,94.35,30.95,NBCC
2024-01-17,88.95,91.7,87.0,87.95,94.35,30.95,NBCC
2024-01-16,92.15,92.95,88.4,90.0,94.35,30.95,NBCC
2024-01-15,91.9,92.25,90.1,91.75,94.35,30.95,NBCC
2024-01-12,92.8,94.35,91.05,91.4,94.35,30.95,NBCC
2024-01-11,93.05,93.6,91.8,92.35,93.65,30.95,NBCC
2024-01-10,91.35,93.65,89.9,92.5,93.65,30.95,NBCC
2024-01-09,85.6,92.5,84.9,91.35,92.5,30.95,NBCC
2024-01-08,87.05,87.85,84.5,85.05,89.85,30.95,NBCC
2024-01-05,87.95,89.45,85.75,86.6,89.85,30.95,NBCC
2024-01-04,88.6,89.85,86.9,87.6,89.85,30.95,NBCC
2024-01-03,80.6,88.55,79.75,88.0,88.55,30.95,NBCC
2024-01-02,82.15,82.2,79.0,80.6,85.9,30.95,NBCC
2024-01-01,81.95,83.1,81.6,81.85,85.9,30.95,NBCC
2023-12-29,83.3,83.3,81.15,81.55,85.9,30.95,NBCC
2023-12-28,80.4,84.65,79.55,82.85,85.9,30.95,NBCC
2023-12-27,78.9,81.4,78.7,79.95,85.9,30.95,NBCC
2023-12-26,78.5,79.15,78.0,78.3,85.9,30.95,NBCC
2023-12-22,78.65,78.85,76.8,78.4,85.9,30.95,NBCC
2023-12-21,73.95,78.6,72.5,78.2,85.9,30.95,NBCC
2023-12-20,82.85,82.95,73.0,75.35,85.9,30.95,NBCC
2023-12-19,83.0,83.65,82.0,82.4,85.9,30.95,NBCC
2023-12-18,82.2,83.7,80.8,82.8,85.9,30.95,NBCC
2023-12-15,83.25,85.9,81.55,82.1,85.9,30.95,NBCC
2023-12-14,83.7,84.75,82.2,82.5,84.75,30.95,NBCC
2023-12-13,80.6,80.95,79.55,80.2,82.8,30.95,NBCC
2023-12-12,80.45,82.15,79.65,80.4,82.8,30.95,NBCC
2023-12-11,79.2,82.8,78.85,79.95,82.8,30.95,NBCC
2023-12-08,81.5,82.6,77.4,78.8,82.6,30.95,NBCC
2023-12-07,78.45,81.45,76.65,81.1,81.45,30.95,NBCC
2023-12-06,77.6,78.8,77.2,78.05,79.5,30.95,NBCC
2023-12-05,78.5,78.65,75.9,77.1,79.5,30.95,NBCC
2023-12-04,77.0,79.5,76.4,78.6,79.5,30.95,NBCC
2023-12-01,77.0,78.0,74.3,74.65,78.0,30.95,NBCC
2023-11-30,70.3,76.5,70.1,76.1,76.5,30.95,NBCC
2023-11-29,68.5,70.55,68.45,70.0,74.35,30.95,NBCC
2023-11-28,64.5,68.4,63.8,68.0,74.35,30.95,NBCC
2023-11-24,65.1,65.55,64.05,64.25,74.35,30.95,NBCC
2023-11-23,66.1,66.55,64.9,65.1,74.35,30.95,NBCC
2023-11-22,67.55,67.6,65.8,65.95,74.35,30.95,NBCC
2023-11-21,67.65,68.4,66.6,67.3,74.35,30.95,NBCC
2023-11-20,67.45,68.85,67.0,67.35,74.35,30.95,NBCC
2023-11-17,67.2,67.95,66.4,67.05,74.35,30.95,NBCC
2023-11-16,68.4,68.4,67.05,67.25,74.35,30.95,NBCC
2023-11-15,69.0,69.4,67.9,68.15,74.35,30.95,NBCC
2023-11-13,66.9,70.35,66.3,68.15,74.35,30.95,NBCC
2023-11-12,66.4,67.45,66.2,67.15,74.35,30.95,NBCC
2023-11-10,66.05,66.45,64.65,65.75,74.35,30.95,NBCC
2023-11-09,68.4,68.5,66.4,67.0,74.35,30.95,NBCC
2023-11-08,68.35,68.9,67.6,68.25,74.35,30.95,NBCC
2023-11-07,67.55,68.85,66.6,68.05,74.35,30.95,NBCC
2023-11-06,67.65,68.1,67.0,67.45,74.35,30.95,NBCC
2023-11-03,68.4,68.4,66.8,67.0,74.35,30.95,NBCC
2023-11-02,66.9,68.35,65.95,67.35,74.35,30.95,NBCC
2023-11-01,66.0,67.65,65.6,65.95,74.35,30.95,NBCC
2023-10-31,67.45,67.65,65.25,65.6,74.35,30.95,NBCC
2023-10-30,64.5,68.45,63.15,67.1,74.35,30.95,NBCC
2023-10-27,64.5,65.6,63.5,64.25,74.35,30.95,NBCC
2023-10-26,63.0,64.5,60.75,63.8,74.35,30.95,NBCC
2023-10-25,63.05,65.3,61.2,63.55,74.35,30.95,NBCC
2023-10-23,68.8,69.5,61.7,62.4,74.35,30.95,NBCC
2023-10-20,72.25,74.35,68.0,68.5,74.35,30.15,NBCC
2023-10-19,66.6,72.4,65.65,70.75,72.4,30.15,NBCC
2023-10-18,65.0,67.45,64.1,64.6,67.45,30.15,NBCC
2023-10-17,64.75,65.45,63.2,64.7,66.2,30.15,NBCC
2023-10-16,63.95,66.2,63.75,64.0,66.2,30.15,NBCC
2023-10-13,63.6,65.0,62.75,63.0,65.35,30.1,NBCC
2023-10-12,62.9,65.35,62.2,63.75,65.35,30.1,NBCC
2023-10-11,62.35,64.65,62.2,62.65,64.65,30.1,NBCC
2023-10-10,58.4,63.1,58.1,61.85,63.6,30.1,NBCC
2023-10-09,59.7,59.85,57.55,57.8,63.6,30.1,NBCC
2023-10-06,58.0,61.85,57.6,61.05,63.6,30.1,NBCC
2023-10-05,57.9,58.5,57.5,57.75,63.6,30.1,NBCC
2023-10-04,58.35,59.25,56.85,57.65,63.6,30.1,NBCC
2023-10-03,58.5,59.35,57.9,58.3,63.6,30.1,NBCC
