DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-08-09,5275.0,5366.4,5240.0,5270.25,5840.0,3782.05,CRAFTSMAN
2024-08-08,5251.6,5335.0,5199.8,5274.0,5840.0,3782.05,CRAFTSMAN
2024-08-07,5267.05,5289.85,5180.0,5199.8,5840.0,3782.05,CRAFTSMAN
2024-08-06,5200.0,5346.85,5126.6,5178.1,5840.0,3782.05,CRAFTSMAN
2024-08-05,5286.0,5299.0,5091.05,5183.0,5840.0,3782.05,CRAFTSMAN
2024-08-02,5480.0,5487.95,5321.3,5348.6,5840.0,3782.05,CRAFTSMAN
2024-08-01,5594.95,5637.9,5469.35,5544.3,5840.0,3782.05,CRAFTSMAN
2024-07-31,5500.0,5686.0,5460.0,5589.5,5840.0,3782.05,CRAFTSMAN
2024-07-30,5399.0,5530.5,5326.1,5499.65,5840.0,3782.05,CRAFTSMAN
2024-07-29,5325.0,5410.0,5292.1,5352.25,5840.0,3782.05,CRAFTSMAN
2024-07-26,5190.0,5340.0,5170.0,5323.85,5840.0,3782.05,CRAFTSMAN
2024-07-25,5100.0,5250.45,4997.95,5207.55,5840.0,3782.05,CRAFTSMAN
2024-07-24,5284.0,5355.0,5210.0,5313.25,5840.0,3782.05,CRAFTSMAN
2024-07-23,5275.0,5317.95,5006.5,5238.65,5840.0,3782.05,CRAFTSMAN
2024-07-22,5010.0,5324.0,5010.0,5274.35,5840.0,3782.05,CRAFTSMAN
2024-07-19,5230.0,5249.0,5070.35,5102.75,5840.0,3782.05,CRAFTSMAN
2024-07-18,5370.0,5372.0,5178.75,5201.45,5840.0,3782.05,CRAFTSMAN
2024-07-16,5289.0,5372.55,5242.35,5340.8,5840.0,3782.05,CRAFTSMAN
2024-07-15,5275.95,5323.95,5150.0,5255.55,5840.0,3782.05,CRAFTSMAN
2024-07-12,5350.0,5379.35,5200.0,5251.4,5840.0,3782.05,CRAFTSMAN
2024-07-11,5294.6,5487.45,5250.7,5368.45,5840.0,3782.05,CRAFTSMAN
2024-07-10,5428.0,5428.1,5202.0,5294.6,5840.0,3782.05,CRAFTSMAN
2024-07-09,5526.0,5534.9,5350.0,5428.1,5840.0,3782.05,CRAFTSMAN
2024-07-08,5681.6,5730.9,5501.75,5528.75,5840.0,3782.05,CRAFTSMAN
2024-07-05,5690.0,5765.7,5635.0,5681.6,5840.0,3782.05,CRAFTSMAN
2024-07-04,5799.0,5799.0,5634.9,5700.85,5840.0,3782.05,CRAFTSMAN
2024-07-03,5767.7,5840.0,5685.0,5764.45,5840.0,3782.05,CRAFTSMAN
2024-07-02,5576.0,5791.2,5515.0,5695.3,5791.2,3782.05,CRAFTSMAN
2024-07-01,5604.95,5627.95,5500.0,5576.0,5690.0,3782.05,CRAFTSMAN
2024-06-28,5358.95,5667.75,5358.95,5541.55,5690.0,3782.05,CRAFTSMAN
2024-06-27,5484.2,5485.0,5386.55,5458.55,5690.0,3782.05,CRAFTSMAN
2024-06-26,5344.9,5607.4,5181.65,5485.8,5690.0,3782.05,CRAFTSMAN
2024-06-25,4949.0,5690.0,4859.0,5463.8,5690.0,3782.05,CRAFTSMAN
2024-06-24,4841.6,4950.0,4804.4,4830.75,5513.65,3782.05,CRAFTSMAN
2024-06-21,4850.1,5004.0,4825.55,4844.6,5513.65,3782.05,CRAFTSMAN
2024-06-20,4939.95,4950.0,4800.0,4845.55,5513.65,3782.05,CRAFTSMAN
2024-06-19,4840.0,4984.0,4770.75,4890.5,5513.65,3782.05,CRAFTSMAN
2024-06-18,4800.0,4812.2,4659.6,4768.3,5513.65,3782.05,CRAFTSMAN
2024-06-14,4399.0,4755.4,4399.0,4713.1,5513.65,3782.05,CRAFTSMAN
2024-06-13,4400.0,4450.0,4400.0,4417.6,5513.65,3782.05,CRAFTSMAN
2024-06-12,4415.0,4440.0,4342.1,4393.8,5513.65,3782.05,CRAFTSMAN
2024-06-11,4453.2,4476.3,4382.0,4418.0,5513.65,3782.05,CRAFTSMAN
2024-06-10,4410.0,4460.0,4370.05,4439.4,5513.65,3782.05,CRAFTSMAN
2024-06-07,4330.2,4390.0,4282.0,4371.45,5513.65,3782.05,CRAFTSMAN
2024-06-06,4192.0,4328.0,4192.0,4299.2,5513.65,3782.05,CRAFTSMAN
2024-06-05,4158.15,4233.4,4080.2,4189.55,5513.65,3782.05,CRAFTSMAN
2024-06-04,4300.0,4300.0,4100.0,4158.15,5513.65,3782.05,CRAFTSMAN
2024-06-03,4284.95,4320.0,4202.05,4281.45,5513.65,3782.05,CRAFTSMAN
2024-05-31,4212.0,4259.0,4127.0,4231.1,5513.65,3379.95,CRAFTSMAN
2024-05-30,4220.0,4240.1,4111.0,4196.65,5513.65,3379.95,CRAFTSMAN
2024-05-29,4256.35,4256.35,4165.0,4190.35,5513.65,3379.95,CRAFTSMAN
2024-05-28,4342.0,4400.0,4223.95,4256.35,5513.65,3379.95,CRAFTSMAN
2024-05-27,4450.0,4454.95,4330.0,4365.45,5513.65,3379.95,CRAFTSMAN
2024-05-24,4297.0,4464.0,4285.0,4429.15,5513.65,3338.0,CRAFTSMAN
2024-05-23,4330.0,4354.95,4289.0,4296.3,5513.65,3338.0,CRAFTSMAN
2024-05-22,4384.25,4432.05,4294.05,4305.2,5513.65,3338.0,CRAFTSMAN
2024-05-21,4447.0,4487.4,4370.0,4384.25,5513.65,3338.0,CRAFTSMAN
2024-05-18,4437.2,4477.0,4433.4,4446.9,5513.65,3338.0,CRAFTSMAN
2024-05-17,4410.0,4451.0,4378.0,4437.2,5513.65,3338.0,CRAFTSMAN
2024-05-16,4399.0,4430.0,4346.0,4404.35,5513.65,3338.0,CRAFTSMAN
2024-05-15,4350.45,4473.0,4339.5,4372.2,5513.65,3338.0,CRAFTSMAN
2024-05-14,4370.0,4430.7,4317.0,4343.75,5513.65,3338.0,CRAFTSMAN
2024-05-13,4300.95,4365.0,4272.1,4325.4,5513.65,3338.0,CRAFTSMAN
2024-05-10,4320.0,4340.0,4281.2,4300.85,5513.65,3115.0,CRAFTSMAN
2024-05-09,4325.0,4379.75,4290.0,4302.15,5513.65,3115.0,CRAFTSMAN
2024-05-08,4300.0,4380.0,4261.4,4307.5,5513.65,3115.0,CRAFTSMAN
2024-05-07,4334.95,4391.95,4290.0,4303.85,5513.65,3115.0,CRAFTSMAN
2024-05-06,4425.0,4430.0,4300.0,4329.25,5513.65,3115.0,CRAFTSMAN
2024-05-03,4470.0,4470.0,4334.8,4389.25,5513.65,3110.15,CRAFTSMAN
2024-05-02,4460.0,4475.0,4401.05,4435.55,5513.65,3110.15,CRAFTSMAN
2024-04-30,4418.25,4465.4,4360.1,4426.4,5513.65,3110.15,CRAFTSMAN
2024-04-29,4484.6,4505.0,4368.1,4423.5,5513.65,3110.15,CRAFTSMAN
2024-04-26,4678.7,4720.25,4621.75,4684.6,5513.65,3045.05,CRAFTSMAN
2024-04-25,4660.3,4754.7,4570.0,4591.75,5513.65,3045.05,CRAFTSMAN
2024-04-24,4350.0,4648.95,4328.0,4604.85,5513.65,3045.05,CRAFTSMAN
2024-04-23,4305.6,4383.95,4272.8,4302.9,5513.65,3045.05,CRAFTSMAN
2024-04-22,4375.0,4375.0,4250.0,4263.0,5513.65,3045.05,CRAFTSMAN
2024-04-19,4315.95,4349.0,4260.0,4314.65,5513.65,3015.55,CRAFTSMAN
2024-04-18,4350.0,4397.95,4279.5,4347.3,5513.65,3015.55,CRAFTSMAN
2024-04-16,4374.8,4404.95,4267.0,4279.5,5513.65,3015.55,CRAFTSMAN
2024-04-15,4383.25,4534.6,4294.05,4323.45,5513.65,3015.55,CRAFTSMAN
2024-04-12,4444.15,4540.0,4444.15,4461.15,5513.65,3000.0,CRAFTSMAN
2024-04-10,4380.0,4467.9,4372.55,4415.4,5513.65,3000.0,CRAFTSMAN
2024-04-09,4485.0,4498.0,4343.75,4368.95,5513.65,3000.0,CRAFTSMAN
2024-04-08,4390.05,4524.0,4390.05,4470.55,5513.65,3000.0,CRAFTSMAN
2024-04-05,4479.0,4533.15,4355.0,4378.45,5513.65,3000.0,CRAFTSMAN
2024-04-04,4488.0,4565.0,4450.0,4485.5,5513.65,3000.0,CRAFTSMAN
2024-04-03,4350.6,4474.7,4337.25,4414.05,5513.65,3000.0,CRAFTSMAN
2024-04-02,4373.75,4397.75,4307.55,4350.6,5513.65,3000.0,CRAFTSMAN
2024-04-01,4379.55,4425.0,4319.0,4364.6,5513.65,3000.0,CRAFTSMAN
2024-03-28,4381.0,4447.0,4283.0,4314.9,5513.65,2981.35,CRAFTSMAN
2024-03-27,4176.55,4370.0,4141.0,4332.5,5513.65,2981.35,CRAFTSMAN
2024-03-26,4199.95,4212.95,4088.0,4172.05,5513.65,2981.35,CRAFTSMAN
2024-03-22,3988.95,4160.0,3964.8,4149.55,5513.65,2735.0,CRAFTSMAN
2024-03-21,3863.45,4034.05,3850.0,3972.35,5513.65,2735.0,CRAFTSMAN
2024-03-20,3830.0,3865.3,3782.05,3844.25,5513.65,2735.0,CRAFTSMAN
2024-03-19,3944.0,3949.0,3813.25,3837.1,5513.65,2735.0,CRAFTSMAN
2024-03-18,4033.1,4033.9,3875.0,3912.3,5513.65,2735.0,CRAFTSMAN
2024-03-15,3954.0,4050.0,3897.15,4033.1,5513.65,2735.0,CRAFTSMAN
2024-03-14,3825.0,3980.0,3801.0,3924.55,5513.65,2735.0,CRAFTSMAN
2024-03-13,4029.95,4030.45,3793.65,3851.4,5513.65,2735.0,CRAFTSMAN
2024-03-12,4065.05,4115.95,3986.0,4002.6,5513.65,2735.0,CRAFTSMAN
2024-03-11,4131.1,4168.4,4020.0,4029.45,5513.65,2735.0,CRAFTSMAN
2024-03-07,4110.0,4150.95,4085.0,4131.05,5513.65,2735.0,CRAFTSMAN
2024-03-06,4151.0,4200.0,4056.1,4165.95,5513.65,2735.0,CRAFTSMAN
2024-03-05,4199.2,4239.8,4090.05,4128.55,5513.65,2735.0,CRAFTSMAN
2024-03-04,4305.3,4319.95,4204.0,4239.25,5513.65,2735.0,CRAFTSMAN
2024-03-02,4315.0,4315.0,4252.0,4288.2,5513.65,2735.0,CRAFTSMAN
2024-03-01,4274.95,4324.0,4230.1,4290.05,5513.65,2735.0,CRAFTSMAN
2024-02-29,4260.0,4275.0,4160.0,4188.85,5513.65,2735.0,CRAFTSMAN
2024-02-28,4257.0,4324.95,4225.05,4253.5,5513.65,2735.0,CRAFTSMAN
2024-02-27,4350.0,4385.0,4252.0,4264.0,5513.65,2735.0,CRAFTSMAN
2024-02-26,4331.0,4398.0,4294.0,4333.5,5513.65,2735.0,CRAFTSMAN
2024-02-23,4340.0,4367.45,4300.25,4347.95,5513.65,2735.0,CRAFTSMAN
2024-02-22,4447.9,4450.85,4340.0,4350.25,5513.65,2735.0,CRAFTSMAN
2024-02-21,4525.0,4525.0,4390.0,4407.9,5513.65,2735.0,CRAFTSMAN
2024-02-20,4344.9,4493.9,4326.25,4453.25,5513.65,2735.0,CRAFTSMAN
2024-02-19,4349.9,4377.0,4308.0,4331.85,5513.65,2735.0,CRAFTSMAN
2024-02-16,4270.0,4388.8,4242.55,4313.7,5513.65,2735.0,CRAFTSMAN
2024-02-15,4254.0,4311.95,4235.0,4270.1,5513.65,2735.0,CRAFTSMAN
2024-02-14,4190.85,4245.0,4105.4,4234.15,5513.65,2735.0,CRAFTSMAN
2024-02-13,4141.6,4223.4,4068.0,4190.85,5513.65,2735.0,CRAFTSMAN
2024-02-12,4180.0,4250.65,4102.7,4121.0,5513.65,2735.0,CRAFTSMAN
2024-02-09,4067.0,4189.7,4028.05,4157.05,5513.65,2735.0,CRAFTSMAN
2024-02-08,4185.45,4199.15,4042.0,4066.7,5513.65,2735.0,CRAFTSMAN
2024-02-07,4189.9,4296.65,4141.05,4182.75,5513.65,2735.0,CRAFTSMAN
2024-02-06,4188.65,4238.25,4111.0,4130.75,5513.65,2735.0,CRAFTSMAN
2024-02-05,4254.0,4314.75,4103.5,4175.1,5513.65,2735.0,CRAFTSMAN
2024-02-02,4359.95,4390.8,4235.0,4253.1,5513.65,2735.0,CRAFTSMAN
2024-02-01,4377.0,4581.0,4292.2,4324.75,5513.65,2735.0,CRAFTSMAN
2024-01-31,4548.0,4548.0,4341.05,4376.3,5513.65,2735.0,CRAFTSMAN
2024-01-30,4697.0,4731.0,4500.0,4515.05,5513.65,2735.0,CRAFTSMAN
2024-01-29,4749.0,4870.0,4640.0,4673.5,5513.65,2735.0,CRAFTSMAN
2024-01-25,4800.0,4800.0,4663.25,4749.0,5513.65,2735.0,CRAFTSMAN
2024-01-24,4799.8,4800.5,4674.55,4778.4,5513.65,2735.0,CRAFTSMAN
2024-01-23,4813.45,4836.0,4652.25,4684.75,5513.65,2735.0,CRAFTSMAN
2024-01-20,4610.2,4839.0,4610.2,4801.65,5513.65,2735.0,CRAFTSMAN
2024-01-19,4738.6,4794.0,4648.5,4666.55,5513.65,2735.0,CRAFTSMAN
2024-01-18,4846.75,4886.0,4655.05,4698.55,5513.65,2735.0,CRAFTSMAN
2024-01-17,4970.05,5029.8,4790.0,4822.7,5513.65,2735.0,CRAFTSMAN
2024-01-16,5000.3,5100.0,4962.25,5016.4,5513.65,2735.0,CRAFTSMAN
2024-01-15,4989.8,5056.25,4951.45,5000.3,5513.65,2735.0,CRAFTSMAN
2024-01-12,5035.0,5048.0,4939.45,4970.0,5513.65,2735.0,CRAFTSMAN
2024-01-11,4870.0,4994.95,4869.3,4986.3,5513.65,2735.0,CRAFTSMAN
2024-01-10,4866.9,4866.9,4763.55,4793.0,5513.65,2735.0,CRAFTSMAN
2024-01-09,4940.3,4948.0,4824.05,4842.7,5513.65,2735.0,CRAFTSMAN
2024-01-08,5020.0,5027.25,4890.0,4904.85,5513.65,2735.0,CRAFTSMAN
2024-01-05,5119.95,5119.95,4973.55,4998.8,5513.65,2735.0,CRAFTSMAN
2024-01-04,5169.95,5169.95,5035.1,5060.2,5513.65,2735.0,CRAFTSMAN
2024-01-03,5258.1,5273.55,5121.0,5143.25,5513.65,2735.0,CRAFTSMAN
2024-01-02,5366.05,5366.05,5202.2,5234.55,5513.65,2735.0,CRAFTSMAN
2024-01-01,5406.25,5441.45,5305.0,5339.35,5513.65,2735.0,CRAFTSMAN
2023-12-29,5310.0,5420.0,5253.2,5406.25,5513.65,2735.0,CRAFTSMAN
2023-12-28,5359.65,5387.9,5311.95,5330.15,5513.65,2735.0,CRAFTSMAN
2023-12-27,5410.0,5432.0,5300.0,5318.0,5513.65,2735.0,CRAFTSMAN
2023-12-26,5429.1,5444.85,5350.15,5379.9,5513.65,2735.0,CRAFTSMAN
2023-12-22,5447.95,5513.65,5364.1,5429.15,5513.65,2735.0,CRAFTSMAN
2023-12-21,5176.0,5440.0,5076.35,5396.85,5459.95,2735.0,CRAFTSMAN
2023-12-20,5275.0,5299.95,5118.05,5207.8,5459.95,2735.0,CRAFTSMAN
2023-12-19,5305.0,5348.0,5236.0,5262.9,5459.95,2735.0,CRAFTSMAN
2023-12-18,5324.1,5459.95,5274.6,5297.9,5459.95,2735.0,CRAFTSMAN
2023-12-15,5333.0,5343.4,5213.2,5324.1,5419.0,2735.0,CRAFTSMAN
2023-12-14,5050.0,5334.0,5035.05,5307.2,5419.0,2735.0,CRAFTSMAN
2023-12-13,5140.0,5144.0,4998.5,5027.7,5419.0,2735.0,CRAFTSMAN
2023-12-12,5181.7,5200.0,5063.1,5109.1,5419.0,2735.0,CRAFTSMAN
2023-12-11,5229.95,5232.5,5155.0,5181.7,5419.0,2735.0,CRAFTSMAN
2023-12-08,5186.9,5241.85,5080.0,5172.55,5419.0,2735.0,CRAFTSMAN
2023-12-07,5143.25,5193.0,5109.05,5159.0,5419.0,2735.0,CRAFTSMAN
2023-12-06,5110.0,5199.1,5016.2,5143.25,5419.0,2735.0,CRAFTSMAN
2023-12-05,5139.95,5171.4,5034.5,5086.05,5419.0,2735.0,CRAFTSMAN
2023-12-04,5169.0,5216.15,5101.25,5116.65,5419.0,2735.0,CRAFTSMAN
2023-12-01,5085.5,5123.1,5055.0,5100.75,5419.0,2735.0,CRAFTSMAN
2023-11-30,5000.0,5098.0,4910.0,5049.75,5419.0,2735.0,CRAFTSMAN
2023-11-29,5040.0,5064.0,4911.3,4923.75,5419.0,2735.0,CRAFTSMAN
2023-11-28,5180.0,5189.8,4980.05,4998.05,5419.0,2735.0,CRAFTSMAN
2023-11-24,5194.15,5230.0,5099.0,5123.2,5419.0,2735.0,CRAFTSMAN
2023-11-23,5201.8,5255.0,5171.05,5186.7,5419.0,2735.0,CRAFTSMAN
2023-11-22,5148.9,5339.7,5135.0,5187.8,5419.0,2735.0,CRAFTSMAN
2023-11-21,5253.0,5267.95,5105.0,5116.7,5419.0,2735.0,CRAFTSMAN
2023-11-20,5190.85,5419.0,5123.75,5244.55,5419.0,2735.0,CRAFTSMAN
2023-11-17,5140.0,5260.0,5070.0,5190.9,5260.0,2735.0,CRAFTSMAN
2023-11-16,4826.0,5193.0,4826.0,5107.0,5193.0,2735.0,CRAFTSMAN
2023-11-15,4835.0,4887.9,4787.35,4805.75,5065.95,2735.0,CRAFTSMAN
2023-11-13,4925.0,4925.0,4780.0,4798.05,5065.95,2735.0,CRAFTSMAN
2023-11-12,4918.05,4980.0,4913.4,4935.8,5065.95,2735.0,CRAFTSMAN
2023-11-10,4909.05,4956.0,4876.0,4888.05,5065.95,2735.0,CRAFTSMAN
2023-11-09,4899.25,4943.0,4857.55,4909.1,5065.95,2735.0,CRAFTSMAN
2023-11-08,4909.0,4960.0,4829.15,4880.2,5065.95,2735.0,CRAFTSMAN
2023-11-07,4949.9,4960.0,4860.0,4890.5,5065.95,2735.0,CRAFTSMAN
2023-11-06,4928.65,5003.8,4877.55,4904.7,5065.95,2735.0,CRAFTSMAN
2023-11-03,4899.9,4935.85,4830.35,4907.15,5065.95,2735.0,CRAFTSMAN
2023-11-02,4818.0,4864.55,4741.0,4816.0,5065.95,2735.0,CRAFTSMAN
2023-11-01,4868.8,4938.4,4750.0,4764.8,5065.95,2735.0,CRAFTSMAN
2023-10-31,4890.0,4986.0,4825.0,4868.8,5065.95,2735.0,CRAFTSMAN
2023-10-30,4749.65,5037.75,4594.35,4791.55,5065.95,2735.0,CRAFTSMAN
2023-10-27,4402.25,4686.0,4395.0,4656.5,5065.95,2735.0,CRAFTSMAN
2023-10-26,4455.0,4492.4,4214.35,4400.95,5065.95,2735.0,CRAFTSMAN
2023-10-25,4550.0,4558.0,4435.0,4492.4,5065.95,2735.0,CRAFTSMAN
2023-10-23,4555.0,4593.75,4450.0,4513.8,5065.95,2735.0,CRAFTSMAN
2023-10-20,4540.0,4580.0,4500.65,4555.75,5065.95,2735.0,CRAFTSMAN
2023-10-19,4506.4,4597.7,4460.0,4520.45,5065.95,2735.0,CRAFTSMAN
2023-10-18,4580.0,4593.0,4475.0,4506.4,5065.95,2735.0,CRAFTSMAN
2023-10-17,4494.45,4594.9,4494.45,4577.2,5065.95,2735.0,CRAFTSMAN
2023-10-16,4521.65,4563.9,4462.55,4483.5,5065.95,2735.0,CRAFTSMAN
2023-10-13,4560.0,4597.75,4501.15,4511.0,5065.95,2732.25,CRAFTSMAN
2023-10-12,4520.65,4621.0,4520.65,4586.45,5065.95,2732.25,CRAFTSMAN
2023-10-11,4528.5,4612.0,4485.0,4505.3,5065.95,2732.25,CRAFTSMAN
2023-10-10,4510.0,4566.85,4494.1,4518.8,5065.95,2732.25,CRAFTSMAN
2023-10-09,4623.0,4650.0,4425.6,4511.9,5065.95,2732.25,CRAFTSMAN
2023-10-06,4670.8,4692.15,4606.35,4623.0,5065.95,2730.0,CRAFTSMAN
2023-10-05,4623.05,4699.95,4580.0,4662.15,5065.95,2730.0,CRAFTSMAN
2023-10-04,4654.0,4709.95,4575.0,4614.25,5065.95,2730.0,CRAFTSMAN
2023-10-03,4624.75,4780.0,4610.05,4649.25,5065.95,2730.0,CRAFTSMAN
2023-09-29,4742.0,4821.0,4612.1,4635.45,5065.95,2630.0,CRAFTSMAN
