DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-07-01,1420.0,1464.0,1408.0,1426.05,1495.0,651.25,TEJASNET
2024-06-28,1450.0,1459.7,1405.95,1413.1,1495.0,651.25,TEJASNET
2024-06-27,1398.0,1495.0,1386.65,1432.15,1495.0,651.25,TEJASNET
2024-06-26,1414.0,1414.0,1386.0,1394.3,1480.0,651.25,TEJASNET
2024-06-25,1427.4,1440.0,1403.75,1411.5,1480.0,651.25,TEJASNET
2024-06-24,1414.5,1450.0,1389.0,1419.45,1480.0,651.25,TEJASNET
2024-06-21,1425.45,1436.95,1383.05,1414.8,1480.0,651.25,TEJASNET
2024-06-20,1438.65,1480.0,1400.25,1418.4,1480.0,651.25,TEJASNET
2024-06-19,1385.0,1480.0,1335.95,1428.95,1480.0,651.25,TEJASNET
2024-06-18,1372.7,1394.95,1355.6,1375.25,1427.7,651.25,TEJASNET
2024-06-14,1375.0,1427.7,1353.05,1363.6,1427.7,651.25,TEJASNET
2024-06-13,1373.05,1409.85,1362.0,1371.1,1414.0,651.25,TEJASNET
2024-06-12,1365.0,1375.0,1333.3,1364.4,1414.0,651.25,TEJASNET
2024-06-11,1295.0,1414.0,1285.9,1370.0,1414.0,651.25,TEJASNET
2024-06-10,1299.9,1308.3,1265.0,1285.9,1308.3,651.25,TEJASNET
2024-06-07,1165.9,1305.3,1161.15,1284.85,1305.3,651.25,TEJASNET
2024-06-06,1159.9,1208.0,1132.75,1160.8,1246.0,651.25,TEJASNET
2024-06-05,1063.3,1142.0,1000.55,1126.1,1246.0,651.25,TEJASNET
2024-06-04,1165.0,1166.8,1052.35,1053.0,1246.0,651.25,TEJASNET
2024-06-03,1200.0,1200.0,1127.65,1169.25,1246.0,651.25,TEJASNET
2024-05-31,1139.95,1153.9,1095.3,1114.4,1246.0,651.25,TEJASNET
2024-05-30,1177.95,1181.55,1125.0,1132.25,1246.0,651.25,TEJASNET
2024-05-29,1170.0,1209.0,1160.0,1176.9,1246.0,651.25,TEJASNET
2024-05-28,1164.3,1184.0,1130.05,1174.2,1246.0,651.25,TEJASNET
2024-05-27,1159.5,1191.2,1120.5,1160.05,1246.0,651.25,TEJASNET
2024-05-24,1180.0,1189.95,1151.05,1155.2,1246.0,640.6,TEJASNET
2024-05-23,1165.0,1199.3,1165.0,1169.45,1246.0,640.6,TEJASNET
2024-05-22,1161.9,1177.0,1130.1,1158.1,1246.0,640.6,TEJASNET
2024-05-21,1224.0,1224.0,1145.0,1155.05,1246.0,640.6,TEJASNET
2024-05-18,1208.7,1218.0,1197.0,1203.15,1246.0,639.1,TEJASNET
2024-05-17,1220.0,1220.35,1198.0,1204.45,1246.0,639.1,TEJASNET
2024-05-16,1210.0,1246.0,1196.1,1202.35,1246.0,639.1,TEJASNET
2024-05-15,1201.6,1204.7,1153.05,1197.35,1220.0,639.1,TEJASNET
2024-05-14,1220.0,1220.0,1183.25,1195.6,1220.0,639.1,TEJASNET
2024-05-13,1124.95,1219.0,1088.45,1199.85,1219.0,639.1,TEJASNET
2024-05-10,1066.0,1129.75,1066.0,1119.45,1183.35,639.1,TEJASNET
2024-05-09,1123.35,1159.4,1069.95,1079.7,1183.35,639.1,TEJASNET
2024-05-08,1110.0,1128.5,1092.35,1118.25,1183.35,639.1,TEJASNET
2024-05-07,1072.35,1125.95,1034.0,1109.3,1183.35,639.1,TEJASNET
2024-05-06,1094.05,1119.0,1052.5,1071.55,1183.35,639.1,TEJASNET
2024-05-03,1118.95,1132.65,1080.0,1090.5,1183.35,618.0,TEJASNET
2024-05-02,1146.9,1150.35,1100.0,1111.7,1183.35,618.0,TEJASNET
2024-04-30,1124.4,1183.35,1100.15,1144.35,1183.35,618.0,TEJASNET
2024-04-29,1040.0,1125.85,1040.0,1117.45,1135.0,618.0,TEJASNET
2024-04-26,1050.0,1054.3,1015.1,1027.95,1135.0,618.0,TEJASNET
2024-04-25,1058.3,1083.9,1031.0,1045.4,1135.0,618.0,TEJASNET
2024-04-24,1120.0,1135.0,1042.0,1069.1,1135.0,618.0,TEJASNET
2024-04-23,1004.95,1088.25,984.4,1088.25,1088.25,618.0,TEJASNET
2024-04-22,784.9,926.4,775.0,906.9,940.0,618.0,TEJASNET
2024-04-19,794.95,794.95,771.1,775.55,940.0,618.0,TEJASNET
2024-04-18,794.05,812.0,790.35,796.25,940.0,618.0,TEJASNET
2024-04-16,763.5,816.05,761.3,794.2,940.0,618.0,TEJASNET
2024-04-15,768.0,789.8,750.55,766.75,940.0,618.0,TEJASNET
2024-04-12,804.95,812.0,778.2,784.0,940.0,606.95,TEJASNET
2024-04-10,805.0,816.15,797.55,803.3,940.0,606.95,TEJASNET
2024-04-09,800.0,832.45,792.4,805.8,940.0,606.95,TEJASNET
2024-04-08,805.0,820.0,791.0,799.25,940.0,606.95,TEJASNET
2024-04-05,779.1,779.1,762.3,767.5,940.0,590.05,TEJASNET
2024-04-04,754.75,788.25,750.5,774.7,940.0,590.05,TEJASNET
2024-04-03,753.0,767.0,741.5,754.2,940.0,590.05,TEJASNET
2024-04-02,731.0,767.0,720.55,757.65,940.0,590.05,TEJASNET
2024-04-01,669.0,735.0,664.5,728.5,940.0,590.05,TEJASNET
2024-03-28,666.95,672.0,651.25,656.4,940.0,565.05,TEJASNET
2024-03-27,678.0,683.7,655.0,661.05,940.0,565.05,TEJASNET
2024-03-26,693.0,698.9,670.0,673.0,940.0,565.05,TEJASNET
2024-03-22,688.0,693.8,683.0,687.0,940.0,565.05,TEJASNET
2024-03-21,689.95,700.5,688.0,692.75,940.0,565.05,TEJASNET
2024-03-20,692.7,699.0,678.1,684.65,940.0,565.05,TEJASNET
2024-03-19,706.75,709.95,690.9,692.7,940.0,565.05,TEJASNET
2024-03-18,715.0,718.9,704.0,706.75,940.0,565.05,TEJASNET
2024-03-15,705.0,717.3,694.35,714.5,940.0,565.05,TEJASNET
2024-03-14,679.95,709.95,674.55,705.75,940.0,565.05,TEJASNET
2024-03-13,705.0,720.95,667.35,672.9,940.0,565.05,TEJASNET
2024-03-12,736.9,736.9,705.0,710.9,940.0,565.05,TEJASNET
2024-03-11,770.0,770.0,730.0,731.0,940.0,565.05,TEJASNET
2024-03-07,730.75,779.0,726.05,766.2,940.0,565.05,TEJASNET
2024-03-06,740.05,745.5,719.45,728.8,940.0,565.05,TEJASNET
2024-03-05,758.05,762.25,738.65,744.55,940.0,565.05,TEJASNET
2024-03-04,759.75,765.0,748.2,757.7,940.0,565.05,TEJASNET
2024-03-02,750.05,759.95,747.0,753.15,940.0,545.5,TEJASNET
2024-03-01,751.7,760.0,746.0,748.65,940.0,545.5,TEJASNET
2024-02-29,750.35,759.8,737.3,746.7,940.0,545.5,TEJASNET
2024-02-28,736.5,763.75,734.0,750.35,940.0,545.5,TEJASNET
2024-02-27,749.0,751.5,730.1,733.15,940.0,545.5,TEJASNET
2024-02-26,758.0,758.0,733.25,745.15,940.0,545.5,TEJASNET
2024-02-23,755.0,769.95,747.3,752.05,940.0,545.5,TEJASNET
2024-02-22,755.0,760.0,744.55,750.9,940.0,545.5,TEJASNET
2024-02-21,743.0,758.0,737.5,750.5,940.0,545.5,TEJASNET
2024-02-20,740.45,750.0,734.5,737.75,940.0,545.5,TEJASNET
2024-02-19,748.0,759.0,734.4,740.45,940.0,545.5,TEJASNET
2024-02-16,740.8,754.8,719.9,748.6,940.0,533.0,TEJASNET
2024-02-15,716.0,756.0,705.25,738.5,940.0,533.0,TEJASNET
2024-02-14,675.0,721.95,665.0,709.55,940.0,533.0,TEJASNET
2024-02-13,689.25,701.95,652.85,682.8,940.0,533.0,TEJASNET
2024-02-12,730.15,732.45,685.0,689.2,940.0,533.0,TEJASNET
2024-02-09,753.0,756.0,725.5,727.35,940.0,533.0,TEJASNET
2024-02-08,766.9,768.35,745.05,748.0,940.0,533.0,TEJASNET
2024-02-07,765.0,776.0,759.3,762.35,940.0,533.0,TEJASNET
2024-02-06,753.45,762.15,750.0,759.3,940.0,533.0,TEJASNET
2024-02-05,765.0,767.0,745.2,753.45,940.0,533.0,TEJASNET
2024-02-02,776.7,789.2,765.05,768.7,940.0,510.0,TEJASNET
2024-02-01,793.0,795.75,767.6,770.55,940.0,510.0,TEJASNET
2024-01-31,753.0,789.2,750.0,785.45,940.0,510.0,TEJASNET
2024-01-30,760.0,767.9,745.0,748.15,940.0,510.0,TEJASNET
2024-01-29,775.95,780.65,754.0,755.8,940.0,510.0,TEJASNET
2024-01-25,785.45,795.2,770.0,771.2,940.0,510.0,TEJASNET
2024-01-24,743.0,788.0,742.7,785.45,940.0,510.0,TEJASNET
2024-01-23,811.0,820.0,738.0,743.5,940.0,510.0,TEJASNET
2024-01-20,812.8,829.9,802.85,812.8,940.0,510.0,TEJASNET
2024-01-19,852.0,869.0,845.4,861.85,940.0,510.0,TEJASNET
2024-01-18,850.05,855.95,830.1,848.6,940.0,510.0,TEJASNET
2024-01-17,842.0,859.6,836.5,854.4,940.0,510.0,TEJASNET
2024-01-16,857.9,862.0,846.0,849.45,940.0,510.0,TEJASNET
2024-01-15,864.3,864.3,855.05,857.3,940.0,510.0,TEJASNET
2024-01-12,863.0,865.5,855.6,860.45,940.0,510.0,TEJASNET
2024-01-11,868.0,868.0,856.0,859.35,940.0,510.0,TEJASNET
2024-01-10,868.0,868.0,854.1,863.85,940.0,510.0,TEJASNET
2024-01-09,875.0,878.05,860.0,862.0,940.0,510.0,TEJASNET
2024-01-08,872.0,880.0,858.9,869.65,940.0,510.0,TEJASNET
2024-01-05,864.3,871.1,856.7,865.65,940.0,510.0,TEJASNET
2024-01-04,858.0,864.5,844.0,857.55,940.0,510.0,TEJASNET
2024-01-03,860.0,861.9,847.0,852.8,940.0,510.0,TEJASNET
2024-01-02,878.0,878.4,853.6,861.9,940.0,510.0,TEJASNET
2024-01-01,875.0,887.95,870.25,872.85,940.0,510.0,TEJASNET
2023-12-29,866.0,881.0,857.1,869.7,940.0,510.0,TEJASNET
2023-12-28,872.0,875.45,859.05,862.1,940.0,510.0,TEJASNET
2023-12-27,873.0,887.95,863.0,866.05,940.0,510.0,TEJASNET
2023-12-26,859.0,868.25,849.0,855.45,940.0,510.0,TEJASNET
2023-12-22,857.0,873.0,845.35,853.7,940.0,510.0,TEJASNET
2023-12-21,832.0,851.95,821.0,847.15,940.0,510.0,TEJASNET
2023-12-20,833.95,872.0,825.65,830.2,940.0,510.0,TEJASNET
2023-12-19,844.0,845.8,824.0,827.35,940.0,510.0,TEJASNET
2023-12-18,822.0,840.95,818.0,837.9,940.0,510.0,TEJASNET
2023-12-15,820.0,826.0,815.0,818.75,940.0,510.0,TEJASNET
2023-12-14,823.55,827.95,812.55,817.1,940.0,510.0,TEJASNET
2023-12-13,820.95,829.9,814.75,820.25,940.0,510.0,TEJASNET
2023-12-12,817.0,841.25,810.0,816.25,940.0,510.0,TEJASNET
2023-12-11,837.9,837.9,807.0,815.15,940.0,510.0,TEJASNET
2023-12-08,831.0,846.95,827.5,832.9,940.0,510.0,TEJASNET
2023-12-07,821.9,840.0,813.05,831.65,940.0,510.0,TEJASNET
2023-12-06,825.0,830.0,813.9,818.25,940.0,510.0,TEJASNET
2023-12-05,830.0,840.7,818.15,822.2,940.0,510.0,TEJASNET
2023-12-04,817.5,839.9,817.5,827.5,940.0,510.0,TEJASNET
2023-12-01,800.0,826.5,800.0,811.9,940.0,510.0,TEJASNET
2023-11-30,799.9,801.0,778.05,797.25,940.0,510.0,TEJASNET
2023-11-29,806.7,808.95,796.05,798.55,940.0,510.0,TEJASNET
2023-11-28,814.0,818.0,800.0,802.45,940.0,510.0,TEJASNET
2023-11-24,826.95,829.8,806.1,813.1,940.0,510.0,TEJASNET
2023-11-23,814.5,828.05,814.5,821.8,940.0,510.0,TEJASNET
2023-11-22,824.1,828.95,807.55,814.5,940.0,510.0,TEJASNET
2023-11-21,827.0,836.0,819.0,824.3,940.0,510.0,TEJASNET
2023-11-20,838.0,847.65,825.05,827.7,940.0,510.0,TEJASNET
2023-11-17,837.0,845.65,830.95,833.6,940.0,510.0,TEJASNET
2023-11-16,841.0,853.0,833.2,836.9,940.0,510.0,TEJASNET
2023-11-15,844.5,847.95,833.0,841.3,940.0,510.0,TEJASNET
2023-11-13,851.0,852.0,838.6,840.55,940.0,510.0,TEJASNET
2023-11-12,851.0,854.9,846.05,850.5,940.0,510.0,TEJASNET
2023-11-10,841.55,848.6,837.25,843.45,940.0,510.0,TEJASNET
2023-11-09,850.0,853.75,838.05,841.35,940.0,510.0,TEJASNET
2023-11-08,850.0,855.7,846.0,847.85,940.0,510.0,TEJASNET
2023-11-07,850.0,853.5,846.9,848.65,940.0,510.0,TEJASNET
2023-11-06,850.05,855.0,845.05,848.5,940.0,510.0,TEJASNET
2023-11-03,851.0,854.8,838.2,844.35,940.0,510.0,TEJASNET
2023-11-02,852.0,859.6,841.0,843.45,940.0,510.0,TEJASNET
2023-11-01,856.9,863.05,840.25,847.1,940.0,510.0,TEJASNET
2023-10-31,866.6,875.4,850.25,857.05,940.0,510.0,TEJASNET
2023-10-30,860.9,869.5,852.95,864.5,940.0,510.0,TEJASNET
2023-10-27,860.0,876.0,851.6,856.65,940.0,510.0,TEJASNET
2023-10-26,845.55,860.0,811.2,855.65,940.0,510.0,TEJASNET
