DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-04-09,170.5,170.85,168.0,168.9,196.8,76.8,IOC
2024-04-08,169.0,171.85,168.75,170.3,196.8,76.8,IOC
2024-04-05,168.8,168.85,164.6,168.0,196.8,76.8,IOC
2024-04-04,174.0,174.95,169.05,169.65,196.8,76.8,IOC
2024-04-03,174.2,175.2,173.15,173.7,196.8,76.8,IOC
2024-04-02,169.4,174.5,169.3,174.2,196.8,76.8,IOC
2024-04-01,169.95,171.25,168.75,169.25,196.8,76.8,IOC
2024-03-28,166.75,169.5,166.7,167.75,196.8,75.75,IOC
2024-03-27,169.0,171.45,165.35,166.2,196.8,75.75,IOC
2024-03-26,164.35,168.75,163.55,167.45,196.8,75.75,IOC
2024-03-22,165.7,167.15,163.55,165.15,196.8,75.75,IOC
2024-03-21,161.0,164.75,159.8,164.5,196.8,75.75,IOC
2024-03-20,156.0,158.55,155.0,158.25,196.8,75.75,IOC
2024-03-19,158.9,158.9,154.25,155.25,196.8,75.75,IOC
2024-03-18,162.55,163.25,160.15,160.8,196.8,75.75,IOC
2024-03-15,166.0,168.7,153.6,161.0,196.8,75.75,IOC
2024-03-14,161.25,171.4,160.6,170.35,196.8,75.75,IOC
2024-03-13,173.0,173.9,161.75,163.35,196.8,75.75,IOC
2024-03-12,175.0,175.9,171.45,172.9,196.8,75.75,IOC
2024-03-11,173.95,177.5,172.1,174.25,196.8,75.75,IOC
2024-03-07,177.35,178.35,174.0,174.6,196.8,75.75,IOC
2024-03-06,176.2,178.2,172.1,177.35,196.8,75.75,IOC
2024-03-05,176.45,177.3,174.55,175.85,196.8,75.75,IOC
2024-03-04,172.2,176.45,170.5,175.25,196.8,75.75,IOC
2024-03-02,169.95,172.75,169.4,172.2,196.8,75.75,IOC
2024-03-01,167.95,171.8,167.4,169.4,196.8,75.75,IOC
2024-02-29,167.4,168.45,164.35,165.55,196.8,75.75,IOC
2024-02-28,172.5,173.45,166.7,167.4,196.8,75.75,IOC
2024-02-27,177.5,178.35,172.1,173.25,196.8,75.75,IOC
2024-02-26,175.9,178.8,172.55,177.5,196.8,75.75,IOC
2024-02-23,179.7,180.7,175.05,175.85,196.8,75.75,IOC
2024-02-22,181.5,181.5,175.4,179.7,196.8,75.75,IOC
2024-02-21,189.6,190.7,181.1,182.3,196.8,75.75,IOC
2024-02-20,187.5,189.7,183.8,188.75,196.8,75.75,IOC
2024-02-19,188.6,190.9,186.4,188.5,196.8,75.75,IOC
2024-02-16,190.0,194.1,186.15,187.0,196.8,75.75,IOC
2024-02-15,185.0,191.35,183.5,189.85,196.8,75.75,IOC
2024-02-14,173.0,184.35,170.9,183.55,196.8,75.75,IOC
2024-02-13,174.95,177.45,172.35,174.45,196.8,75.75,IOC
2024-02-12,182.5,184.35,173.15,175.4,196.8,75.75,IOC
2024-02-09,193.4,193.85,177.75,182.5,196.8,75.75,IOC
2024-02-08,187.9,196.8,186.75,192.4,196.8,75.75,IOC
2024-02-07,188.2,192.65,185.05,186.45,192.65,75.75,IOC
2024-02-06,176.55,186.0,171.35,184.5,186.0,75.75,IOC
2024-02-05,167.95,177.2,164.7,173.95,177.2,75.75,IOC
2024-02-02,151.9,166.8,151.05,162.9,166.8,75.75,IOC
2024-02-01,148.5,150.7,147.05,149.75,152.2,75.75,IOC
2024-01-31,147.8,150.1,146.1,146.95,152.2,75.75,IOC
2024-01-30,148.4,152.2,146.5,147.7,152.2,75.75,IOC
2024-01-29,143.7,148.4,143.5,146.7,151.8,75.75,IOC
2024-01-25,145.9,145.9,142.0,143.7,151.8,75.75,IOC
2024-01-24,138.95,145.25,138.05,143.45,151.8,75.75,IOC
2024-01-23,151.5,151.8,137.85,138.95,151.8,75.75,IOC
2024-01-20,149.9,150.4,147.6,148.05,150.4,75.75,IOC
2024-01-19,145.1,149.3,143.8,148.65,149.3,75.75,IOC
2024-01-18,143.8,145.65,139.9,144.5,145.65,75.75,IOC
2024-01-17,143.0,145.4,141.55,144.1,145.4,75.75,IOC
2024-01-16,138.25,144.35,137.5,143.6,144.35,75.75,IOC
2024-01-15,136.45,138.0,135.2,137.65,138.0,75.75,IOC
2024-01-12,133.45,135.85,132.75,135.3,136.1,75.75,IOC
2024-01-11,131.35,133.9,131.1,133.25,136.1,75.75,IOC
2024-01-10,130.95,131.0,128.5,130.55,136.1,75.75,IOC
2024-01-09,134.9,134.9,131.55,131.9,136.1,75.75,IOC
2024-01-08,134.0,136.1,132.25,132.65,136.1,75.75,IOC
2024-01-05,132.8,134.6,131.55,132.7,134.6,75.75,IOC
2024-01-04,132.0,132.0,128.8,131.2,133.95,75.75,IOC
2024-01-03,130.55,133.85,130.3,132.7,133.95,75.75,IOC
2024-01-02,131.0,131.45,128.6,130.55,133.95,75.75,IOC
2024-01-01,132.1,132.5,130.0,130.3,133.95,75.75,IOC
2023-12-29,129.7,132.05,128.3,129.85,133.95,72.35,IOC
2023-12-28,127.0,133.95,126.5,133.25,133.95,72.35,IOC
2023-12-27,128.4,128.9,125.45,126.6,128.9,72.35,IOC
2023-12-26,123.9,128.5,123.6,128.05,128.5,72.35,IOC
2023-12-22,124.25,125.0,122.1,123.7,126.4,72.35,IOC
2023-12-21,118.0,124.5,117.35,124.15,126.4,72.35,IOC
2023-12-20,125.6,126.4,119.0,120.05,126.4,72.35,IOC
2023-12-19,125.0,125.95,124.2,124.7,125.95,72.35,IOC
2023-12-18,124.45,125.8,123.2,124.35,125.8,72.35,IOC
2023-12-15,120.3,124.95,119.65,123.8,124.95,72.35,IOC
2023-12-14,120.5,120.5,119.35,120.1,122.5,72.35,IOC
2023-12-13,118.5,119.85,118.05,119.65,122.5,72.35,IOC
2023-12-12,118.0,118.9,116.9,117.55,122.5,72.35,IOC
2023-12-11,119.9,121.0,116.6,117.5,122.5,72.35,IOC
2023-12-08,122.15,122.45,117.35,118.8,122.5,72.35,IOC
2023-12-07,120.3,122.5,119.55,121.35,122.5,72.35,IOC
2023-12-06,118.8,119.95,117.4,119.3,120.0,72.35,IOC
2023-12-05,120.0,120.0,115.6,117.7,120.0,72.35,IOC
2023-12-04,114.5,118.15,113.1,115.9,118.15,72.35,IOC
2023-12-01,112.85,113.95,110.6,111.25,113.95,72.35,IOC
2023-11-30,108.55,112.5,107.1,111.75,112.5,72.35,IOC
2023-11-29,108.7,109.75,107.45,108.55,109.75,72.35,IOC
2023-11-28,104.7,108.6,104.1,108.2,108.6,72.35,IOC
2023-11-24,104.1,105.3,103.0,103.45,106.9,69.15,IOC
2023-11-23,102.0,104.2,100.75,103.8,106.9,69.15,IOC
2023-11-22,101.0,102.7,100.35,101.25,106.9,69.15,IOC
2023-11-21,103.0,103.2,100.85,101.05,106.9,69.15,IOC
2023-11-20,103.0,103.95,102.0,102.85,106.9,69.15,IOC
2023-11-17,105.0,106.3,101.5,102.7,106.9,68.75,IOC
2023-11-16,102.0,105.15,101.7,104.1,106.9,68.75,IOC
2023-11-15,100.0,102.0,99.15,101.7,106.9,68.75,IOC
2023-11-13,98.3,99.25,97.55,99.0,106.9,68.75,IOC
2023-11-12,98.05,98.9,98.05,98.35,106.9,68.7,IOC
2023-11-10,97.85,98.85,97.4,98.05,106.9,68.7,IOC
2023-11-09,104.1,104.5,102.5,102.95,106.9,68.7,IOC
2023-11-08,105.4,106.9,103.05,103.45,106.9,68.7,IOC
2023-11-07,100.0,104.3,98.75,104.05,104.3,68.7,IOC
2023-11-06,97.0,100.5,96.6,99.0,101.45,68.7,IOC
2023-11-03,96.5,96.75,95.4,95.9,101.45,68.1,IOC
2023-11-02,93.85,96.5,93.3,95.05,101.45,68.1,IOC
2023-11-01,92.0,93.0,90.45,92.45,101.45,68.1,IOC
2023-10-31,89.0,90.0,87.65,89.7,101.45,68.1,IOC
2023-10-30,87.45,88.6,86.75,88.25,101.45,68.1,IOC
2023-10-27,86.55,87.5,86.55,86.9,101.45,67.2,IOC
2023-10-26,87.55,87.8,85.5,86.2,101.45,67.2,IOC
