DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-04-18,310.0,318.75,299.5,302.0,318.75,191.7,PETRONET
2024-04-16,300.1,313.65,299.5,308.0,315.2,191.7,PETRONET
2024-04-15,300.3,311.9,295.25,305.0,315.2,191.7,PETRONET
2024-04-12,303.0,315.2,302.9,305.45,315.2,191.7,PETRONET
2024-04-10,290.0,309.0,288.65,302.5,309.0,191.7,PETRONET
2024-04-09,282.9,290.2,280.5,288.55,296.45,191.7,PETRONET
2024-04-08,278.0,283.4,277.2,281.0,296.45,191.7,PETRONET
2024-04-05,276.8,278.95,272.8,277.65,296.45,191.7,PETRONET
2024-04-04,284.05,285.9,273.0,275.75,296.45,191.7,PETRONET
2024-04-03,273.5,287.65,272.6,282.85,296.45,191.7,PETRONET
2024-04-02,267.4,273.5,265.9,272.8,296.45,191.7,PETRONET
2024-04-01,263.55,269.05,262.2,265.4,296.45,191.7,PETRONET
2024-03-28,264.5,268.4,261.05,263.2,296.45,191.7,PETRONET
2024-03-27,266.7,269.9,263.05,263.75,296.45,191.7,PETRONET
2024-03-26,259.35,268.8,257.75,265.55,296.45,191.7,PETRONET
2024-03-22,258.65,261.25,256.3,259.35,296.45,191.7,PETRONET
2024-03-21,261.05,263.65,257.35,258.65,296.45,191.7,PETRONET
2024-03-20,263.8,264.3,257.7,261.75,296.45,191.7,PETRONET
2024-03-19,261.55,265.15,259.4,261.65,296.45,191.7,PETRONET
2024-03-18,264.8,266.3,261.4,264.6,296.45,191.7,PETRONET
2024-03-15,266.1,269.6,258.05,264.35,296.45,191.7,PETRONET
2024-03-14,263.65,269.0,261.0,266.65,296.45,191.7,PETRONET
2024-03-13,275.65,278.25,262.4,263.75,296.45,191.7,PETRONET
2024-03-12,279.7,281.2,274.65,275.65,296.45,191.7,PETRONET
2024-03-11,281.3,283.3,275.3,279.7,296.45,191.7,PETRONET
2024-03-07,284.2,288.3,281.0,281.65,296.45,191.7,PETRONET
2024-03-06,290.9,292.8,280.3,285.7,296.45,191.7,PETRONET
2024-03-05,294.0,294.0,286.95,291.1,296.45,191.7,PETRONET
2024-03-04,282.0,292.4,282.0,291.2,296.45,191.7,PETRONET
2024-03-02,282.75,284.25,278.9,281.85,296.45,191.7,PETRONET
2024-03-01,273.45,284.05,273.45,282.7,296.45,191.7,PETRONET
2024-02-29,273.6,275.35,270.65,273.45,296.45,191.7,PETRONET
2024-02-28,280.5,286.05,272.5,273.7,296.45,191.7,PETRONET
2024-02-27,286.7,287.45,278.1,281.35,296.45,191.7,PETRONET
2024-02-26,284.65,289.0,283.3,286.35,296.45,191.7,PETRONET
2024-02-23,283.95,287.7,281.2,284.7,296.45,191.7,PETRONET
2024-02-22,280.0,285.95,277.15,284.0,296.45,191.7,PETRONET
2024-02-21,283.25,284.95,279.5,280.7,296.45,191.7,PETRONET
2024-02-20,283.7,284.6,278.6,281.25,296.45,191.7,PETRONET
2024-02-19,279.05,285.95,276.1,282.75,296.45,191.7,PETRONET
2024-02-16,279.9,282.5,277.0,277.95,296.45,191.7,PETRONET
2024-02-15,273.8,284.0,271.1,277.15,296.45,191.7,PETRONET
2024-02-14,264.55,272.95,261.9,272.15,296.45,191.7,PETRONET
2024-02-13,257.9,268.05,255.75,266.0,296.45,191.7,PETRONET
2024-02-12,272.4,272.4,255.6,257.0,296.45,191.7,PETRONET
2024-02-09,280.45,281.0,264.75,270.15,296.45,191.7,PETRONET
2024-02-08,285.6,285.7,277.2,278.25,296.45,191.7,PETRONET
2024-02-07,291.95,291.95,281.05,282.9,296.45,191.7,PETRONET
2024-02-06,276.95,296.45,274.55,290.4,296.45,191.7,PETRONET
2024-02-05,271.8,279.4,268.35,273.35,284.55,191.7,PETRONET
2024-02-02,268.4,272.4,266.55,269.45,284.55,191.7,PETRONET
2024-02-01,270.0,270.0,260.9,265.7,284.55,191.7,PETRONET
2024-01-31,268.5,270.65,263.55,269.1,284.55,191.7,PETRONET
2024-01-30,266.9,284.55,264.35,267.55,284.55,191.7,PETRONET
2024-01-29,259.0,266.3,257.6,262.95,266.3,191.7,PETRONET
2024-01-25,260.3,262.75,255.5,256.6,266.3,191.7,PETRONET
2024-01-24,261.75,263.75,254.1,260.3,266.3,191.7,PETRONET
2024-01-23,260.0,266.3,253.75,259.9,266.3,191.7,PETRONET
2024-01-20,249.1,250.5,245.05,246.8,254.4,191.7,PETRONET
2024-01-19,242.1,245.0,240.1,243.65,254.4,191.7,PETRONET
2024-01-18,232.0,240.8,228.05,240.2,254.4,191.7,PETRONET
2024-01-17,235.0,237.5,231.8,232.75,254.4,191.7,PETRONET
2024-01-16,232.0,239.65,230.7,236.6,254.4,191.7,PETRONET
2024-01-15,230.0,234.8,229.6,232.25,254.4,191.7,PETRONET
2024-01-12,232.5,232.5,228.1,229.55,254.4,191.7,PETRONET
2024-01-11,234.85,236.0,229.75,230.4,254.4,191.7,PETRONET
2024-01-10,230.4,235.55,227.5,234.0,254.4,191.7,PETRONET
2024-01-09,226.9,233.6,225.85,230.45,254.4,191.7,PETRONET
2024-01-08,228.7,229.8,225.05,226.1,254.4,191.7,PETRONET
2024-01-05,232.85,233.95,227.7,228.65,254.4,191.7,PETRONET
2024-01-04,229.8,232.7,229.1,232.05,254.4,191.7,PETRONET
2024-01-03,227.95,229.8,225.6,228.3,254.4,191.7,PETRONET
2024-01-02,226.85,230.0,223.65,226.65,254.4,191.7,PETRONET
2024-01-01,223.0,228.7,222.5,225.6,254.4,191.7,PETRONET
2023-12-29,224.0,225.4,221.4,222.65,254.4,191.7,PETRONET
2023-12-28,218.9,223.85,217.7,222.4,254.4,191.7,PETRONET
2023-12-27,217.0,217.5,215.0,216.3,254.4,191.7,PETRONET
2023-12-26,215.3,217.4,214.7,215.65,254.4,191.7,PETRONET
2023-12-22,213.4,215.3,212.5,214.2,254.4,191.7,PETRONET
2023-12-21,206.85,212.0,206.4,211.45,254.4,191.7,PETRONET
2023-12-20,217.75,218.45,207.75,208.85,254.4,191.7,PETRONET
2023-12-19,217.05,218.35,215.0,216.1,254.4,191.7,PETRONET
2023-12-18,215.5,217.9,214.5,216.35,254.4,191.7,PETRONET
2023-12-15,214.1,216.2,213.25,214.05,254.4,191.7,PETRONET
2023-12-14,211.35,213.6,209.55,212.1,254.4,191.7,PETRONET
2023-12-13,210.0,210.5,207.65,209.8,254.4,191.7,PETRONET
2023-12-12,211.25,212.25,208.2,208.85,254.4,191.7,PETRONET
2023-12-11,211.15,212.55,209.85,210.9,254.4,191.7,PETRONET
2023-12-08,213.95,213.95,206.9,210.0,254.4,191.7,PETRONET
2023-12-07,211.85,215.0,208.85,212.8,254.4,191.7,PETRONET
2023-12-06,207.5,212.35,206.55,211.2,254.4,191.7,PETRONET
2023-12-05,206.8,207.5,203.75,206.15,254.4,191.7,PETRONET
2023-12-04,204.95,206.95,203.3,205.15,254.4,191.7,PETRONET
2023-12-01,205.0,205.0,200.75,201.95,254.4,191.7,PETRONET
2023-11-30,200.35,204.2,198.1,202.8,254.4,191.7,PETRONET
2023-11-29,196.5,200.95,196.4,199.2,254.4,191.7,PETRONET
2023-11-28,196.0,197.3,195.4,196.35,254.4,191.7,PETRONET
2023-11-24,196.15,196.6,195.0,195.3,254.4,191.7,PETRONET
2023-11-23,196.9,196.9,194.8,196.2,254.4,191.7,PETRONET
2023-11-22,195.4,197.3,194.4,195.85,254.4,191.7,PETRONET
2023-11-21,195.3,197.95,194.8,194.95,254.4,191.7,PETRONET
2023-11-20,196.0,196.6,194.5,195.15,254.4,191.7,PETRONET
2023-11-17,197.95,198.5,195.5,196.05,254.4,191.7,PETRONET
2023-11-16,198.3,198.5,196.9,197.45,254.4,191.7,PETRONET
2023-11-15,199.5,199.5,196.85,197.85,254.4,191.7,PETRONET
2023-11-13,196.0,197.95,195.2,197.5,254.4,191.7,PETRONET
2023-11-12,196.0,196.65,195.0,196.05,254.4,191.7,PETRONET
2023-11-10,193.8,196.6,191.7,194.7,254.4,191.7,PETRONET
2023-11-09,200.5,202.45,198.75,200.05,254.4,193.35,PETRONET
2023-11-08,201.65,202.0,198.3,199.7,254.4,193.35,PETRONET
2023-11-07,203.8,203.85,199.45,200.75,254.4,193.35,PETRONET
2023-11-06,197.5,203.8,197.05,202.8,254.4,193.35,PETRONET
2023-11-03,197.4,198.65,195.5,196.05,254.4,193.35,PETRONET
2023-11-02,195.05,196.2,193.55,195.0,254.4,193.35,PETRONET
2023-11-01,201.0,201.8,193.35,193.75,254.4,193.35,PETRONET
2023-10-31,199.25,201.9,195.1,199.6,254.4,195.1,PETRONET
2023-10-30,220.3,223.55,198.25,201.7,254.4,198.25,PETRONET
2023-10-27,220.1,221.6,219.05,220.25,254.4,199.55,PETRONET
2023-10-26,219.8,219.8,216.5,218.8,254.4,199.55,PETRONET
2023-10-25,220.9,222.2,218.35,219.85,254.4,199.55,PETRONET
2023-10-23,226.1,226.8,219.05,219.9,254.4,199.55,PETRONET
2023-10-20,230.9,232.0,224.75,226.05,254.4,199.3,PETRONET
2023-10-19,230.3,231.6,228.2,230.75,254.4,199.3,PETRONET
2023-10-18,232.45,234.85,230.15,230.6,254.4,199.3,PETRONET
2023-10-17,231.55,235.2,230.85,232.4,254.4,199.3,PETRONET
2023-10-16,231.05,233.0,230.4,231.15,254.4,199.3,PETRONET
2023-10-13,228.35,234.2,227.75,231.05,254.4,195.7,PETRONET
2023-10-12,224.55,229.75,224.45,228.35,254.4,195.7,PETRONET
2023-10-11,226.5,226.8,224.0,224.75,254.4,195.7,PETRONET
2023-10-10,224.3,225.2,222.5,224.95,254.4,195.7,PETRONET
2023-10-09,229.95,230.0,222.2,223.2,254.4,195.7,PETRONET
2023-10-06,233.3,233.4,229.1,230.4,254.4,195.7,PETRONET
2023-10-05,236.05,237.3,231.1,232.2,254.4,195.7,PETRONET
2023-10-04,238.8,238.8,233.5,234.85,254.4,195.7,PETRONET
2023-10-03,240.5,241.75,237.55,239.35,254.4,195.7,PETRONET
